PeakID (cmd=annotatePeaks.pl AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr12-39166	chr12	110436899	110542883	+	1080.8	2.829	intron (NM_012023, intron 1 of 13)	intron (NM_012023, intron 1 of 13)	4152	NM_001081458	26931	Mm.240396	NM_012023	ENSMUSG00000017843	Ppp2r5c	2610043M05Rik|2700063L20Rik|AI060890|AW545884|C85228|D12Bwg0916e|mKIAA0044	protein phosphatase 2, regulatory subunit B', gamma	protein-coding
chr11-45531	chr11	30122370	30217693	+	1078.7	2.378	intron (NM_175836, intron 1 of 34)	L1Md_T|LINE|L1	28226	NM_009260	20742	Mm.123110	NM_009260	ENSMUSG00000020315	Sptbn1	9930031C03Rik|AL033301|SPTB2|Spnb-2|Spnb2|elf1|elf3|mKIAA4049	spectrin beta, non-erythrocytic 1	protein-coding
chr11-59974	chr11	34693557	34799317	+	1077.0	2.756	intron (NM_033374, intron 2 of 51)	Lx2B|LINE|L1	37468	NM_033374	94176	Mm.380679	NM_033374	ENSMUSG00000020143	Dock2	AI662014|AW122239|CED-5|Hch|MBC	dedicator of cyto-kinesis 2	protein-coding
chr15-43869	chr15	53212552	53352372	+	1076.5	2.851	intron (NM_010162, intron 1 of 10)	intron (NM_010162, intron 1 of 10)	63721	NM_010162	14042	Mm.309395	NM_010162		Ext1	AA409028	exostoses (multiple) 1	protein-coding
chr15-40499	chr15	81235704	81361708	+	1074.8	2.860	Intergenic	B3A|SINE|B2	-46844	NR_077230	78102	Mm.296832	NR_077229		8430426J06Rik	-	RIKEN cDNA 8430426J06 gene	ncRNA
chr9-34144	chr9	107248503	107341245	+	1072.5	3.317	Intergenic	RSINE1|SINE|B4	-1815	NM_009895	12700	Mm.4592	NM_009895		Cish	AI385595|CIS1|Cis|F17|F23	cytokine inducible SH2-containing protein	protein-coding
chr11-69043	chr11	33990863	34078803	+	1072.3	3.371	Intergenic	MIRc|SINE|MIR	-12368	NM_010696	16822	Mm.265350	NM_010696	ENSMUSG00000002699	Lcp2	AI323664|BB161688|SLP-76|SLP76|twm	lymphocyte cytosolic protein 2	protein-coding
chr1-49432	chr1	165641734	165736276	+	1070.0	3.147	intron (NM_001038846, intron 1 of 5)	B3|SINE|B2	19089	NM_001038846	226594	Mm.265552	NM_178593	ENSMUSG00000040723	Rcsd1	A430105K13Rik|BC025872	RCSD domain containing 1	protein-coding
chr7-59192	chr7	89996985	90100143	+	1068.7	3.553	intron (NR_110364, intron 5 of 5)	intron (NR_110364, intron 5 of 5)	19405	NR_110365	319711	Mm.31753	NR_015614		E230029C05Rik	AI452102|B230337J15	RIKEN cDNA E230029C05 gene	ncRNA
chr8-40311	chr8	69888063	70007142	+	1067.5	3.264	intron (NM_001286450, intron 2 of 12)	intron (NM_001286450, intron 2 of 12)	26781	NM_001113346	234366	Mm.270044	NM_145596	ENSMUSG00000036180	Gatad2a	1110066C11Rik|BC031407|C80248	GATA zinc finger domain containing 2A	protein-coding
chr7-57482	chr7	66108882	66233925	+	1063.8	3.054	exon (NM_001081163, exon 3 of 3)	exon (NM_001081163, exon 3 of 3)	61888	NM_001081163	269941	Mm.333916	NM_001081163	ENSMUSG00000032640	Chsy1	mKIAA0990	chondroitin sulfate synthase 1	protein-coding
chr7-29597	chr7	80014627	80125539	+	1061.4	3.035	intron (NR_045695, intron 1 of 2)	intron (NR_045695, intron 1 of 2)	5174	NR_045695	100859962	Mm.392575	NR_045695		Gm21057	-	predicted gene, 21057	ncRNA
chr17-39541	chr17	23534470	23645361	+	1060.8	2.868	intron (NM_011747, intron 1 of 5)	intron (NM_011747, intron 1 of 5)	9572	NM_011747	22654	Mm.40326	NM_011747	ENSMUSG00000062012	Zfp13	4933429B21|AI835008|Krox-8|Rhit|Zfp-13	zinc finger protein 13	protein-coding
chr17-16316	chr17	83267285	83408008	+	1058.2	3.000	Intergenic	L1MC1|LINE|L1	-13285	NM_001114362	78798	Mm.295565	NM_199466	ENSMUSG00000032624	Eml4	4930443C24Rik|AI644019	echinoderm microtubule associated protein like 4	protein-coding
chr11-48785	chr11	96943409	97052665	+	1058.0	3.309	Intergenic	Intergenic	-15532	NM_031183	83395	Mm.156282	NM_031183	ENSMUSG00000038560	Sp6	1110025J03Rik|AA591031|AI592962|Epfn|Klf14	trans-acting transcription factor 6	protein-coding
chr19-24590	chr19	46438026	46536380	+	1056.8	2.734	3' UTR (NM_001025391, exon 12 of 12)	3' UTR (NM_001025391, exon 12 of 12)	-14445	NM_053100	93679	Mm.392177	NM_053100	ENSMUSG00000025034	Trim8	AA408830|BB006755|GERP|Rnf27	tripartite motif-containing 8	protein-coding
chr15-44209	chr15	58975048	59108017	+	1056.7	2.792	intron (NM_001146180, intron 3 of 13)	intron (NM_001146180, intron 3 of 13)	40494	NM_144800	211401	Mm.215481	NM_144800	ENSMUSG00000022353	Mtss1	2310003N14Rik|BC024131|D130001D01Rik|Mim|mKIAA0429	metastasis suppressor 1	protein-coding
chr12-42184	chr12	55414798	55506375	+	1055.3	2.809	intron (NR_035430, intron 1 of 3)	intron (NR_035430, intron 1 of 3)	32061	NM_010907	18035	Mm.170515	NM_010907	ENSMUSG00000021025	Nfkbia	AI462015|Nfkbi	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha	protein-coding
chr6-8554	chr6	70762840	70878553	+	1053.2	2.379	Intergenic	Intergenic	-23831	NM_010121	13666	Mm.247167	NM_010121	ENSMUSG00000031668	Eif2ak3	AI427929|Pek|Perk	eukaryotic translation initiation factor 2 alpha kinase 3	protein-coding
chr6-53217	chr6	145834839	146020080	+	1050.5	3.114	Intergenic	Intergenic	-6688	NM_010656	16651	Mm.49689	NM_010656	ENSMUSG00000030255	Sspn	Krag	sarcospan	protein-coding
chr9-18624	chr9	7810939	7903655	+	1049.7	3.187	intron (NM_007464, intron 5 of 8)	PB1D10|SINE|Alu	15873	NM_007464	11796	Mm.2026	NM_007464	ENSMUSG00000032000	Birc3	AW107670|Api1|Api2|Birc2|HIAP2|IAP1|IAP2|MIAP1|MIAP2|MIHB|MIHC|RNF49|cIAP-1|cIAP-2|cIAP1|cIAP2	baculoviral IAP repeat-containing 3	protein-coding
chr3-41170	chr3	52785569	52907785	+	1047.0	4.152	Intergenic	MTA_Mm-int|LTR|ERVL-MaLR	80989	NR_040555	622124	Mm.389434	NR_040555		Gm20750	-	predicted gene, 20750	ncRNA
chr8-35712	chr8	86617624	86757752	+	1046.3	3.893	intron (NM_001168591, intron 5 of 8)	MLT1F2|LTR|ERVL-MaLR	36119	NM_001168591	66887	Mm.324550	NM_025827	ENSMUSG00000047866	Lonp2	1300002A08Rik|AU015403|Lonp	lon peptidase 2, peroxisomal	protein-coding
chr19-26210	chr19	9882911	9993470	+	1046.0	3.745	Intergenic	B4A|SINE|B4	-38657	NM_016692	16319	Mm.29755	NM_016692	ENSMUSG00000024660	Incenp	2700067E22Rik|AU019509|C130081E20|C77457	inner centromere protein	protein-coding
chr11-48297	chr11	86738948	86873713	+	1042.0	3.635	intron (NM_026191, intron 2 of 17)	intron (NM_026191, intron 2 of 17)	1330	NM_026191	67487	Mm.260627	NM_026191	ENSMUSG00000018425	Dhx40	2410016C14Rik|ARG147|DDX40|PAD	DEAH (Asp-Glu-Ala-His) box polypeptide 40	protein-coding
chr14-22074	chr14	40902738	40974863	+	1040.4	3.581	intron (NM_145928, intron 1 of 8)	intron (NM_145928, intron 1 of 8)	28007	NM_145928	52588	Mm.28876	NM_145928	ENSMUSG00000037824	Tspan14	AA958793|D14Ertd226e|Tm4sf14	tetraspanin 14	protein-coding
chr9-45650	chr9	108989435	109096312	+	1035.3	3.499	intron (NM_025858, intron 2 of 5)	L1Md_F3|LINE|L1	4306	NM_025858	66940	Mm.196533	NM_025858	ENSMUSG00000025647	Shisa5	2310008D10Rik|6430628I05Rik|Scotin|mShisa5	shisa homolog 5 (Xenopus laevis)	protein-coding
chr16-27983	chr16	3870674	4004574	+	1035.2	3.644	intron (NM_029738, intron 11 of 11)	intron (NM_029738, intron 11 of 11)	28615	NM_029738	76779	Mm.458921	NM_029738	ENSMUSG00000014232	Cluap1	2310030D15Rik|2610111M03Rik	clusterin associated protein 1	protein-coding
chr11-45978	chr11	46053282	46135985	+	1034.0	4.204	intron (NM_009616, intron 4 of 22)	intron (NM_009616, intron 4 of 22)	-7637	NR_106177	102465996		NR_106177		Mir8100	mmu-mir-8100	microRNA mir-8100	ncRNA
chr5-45182	chr5	107917271	108001550	+	1031.8	3.573	intron (NM_026062, intron 1 of 4)	RSINE1|SINE|B4	27667	NM_026062	67266	Mm.277897	NM_026062	ENSMUSG00000029270	Fam69a	2900024C23Rik|AI315274	family with sequence similarity 69, member A	protein-coding
chr6-18695	chr6	54040087	54164450	+	1031.3	3.314	intron (NM_001163640, intron 1 of 12)	B2_Mm2|SINE|B2	62336	NM_001163640	69993	Mm.321147	NM_023543	ENSMUSG00000004633	Chn2	1700026N20Rik|4930557O16Rik|ARHGAP3|Bch	chimerin 2	protein-coding
chr2-67875	chr2	32008269	32088730	+	1029.0	2.368	intron (NM_172268, intron 33 of 35)	intron (NM_172268, intron 33 of 35)	-2447	NR_106135	102466844		NR_106135		Mir7674	mmu-mir-7674	microRNA mir-7674	ncRNA
chr16-31324	chr16	55872104	55996772	+	1027.5	2.559	intron (NM_001159366, intron 1 of 4)	CpG	410	NM_001159366	74201	Mm.178427	NM_028815	ENSMUSG00000022604	Cep97	2810403B08Rik|4932439K18Rik|AA437768|E130116N02Rik|Lrriq2	centrosomal protein 97	protein-coding
chr9-25516	chr9	66185931	66309135	+	1024.4	2.396	intron (NM_010019, intron 5 of 11)	intron (NM_010019, intron 5 of 11)	89307	NM_010019	13143	Mm.304472	NM_010019	ENSMUSG00000032380	Dapk2	-	death-associated protein kinase 2	protein-coding
chr5-43411	chr5	64430966	64537621	+	1023.6	2.007	TTS (NR_045413)	TTS (NR_045413)	7285	NR_045411	77382	Mm.366742	NR_045411		C030018K13Rik	-	RIKEN cDNA C030018K13 gene	ncRNA
chr10-29885	chr10	78059574	78200078	+	1023.3	2.137	Intergenic	Intergenic	39942	NM_138601	28295	Mm.268691	NM_138601	ENSMUSG00000053329	D10Jhu81e	C21orf33|ES1	DNA segment, Chr 10, Johns Hopkins University 81 expressed	protein-coding
chr10-56244	chr10	121410914	121521078	+	1023.2	2.017	intron (NM_138956, intron 1 of 4)	B1_Mur4|SINE|Alu	10254	NM_138956	192678	Mm.41265	NM_138956	ENSMUSG00000025795	Rassf3	AW212023|AW322379	Ras association (RalGDS/AF-6) domain family member 3	protein-coding
chr6-53511	chr6	149126864	149263927	+	1022.0	2.695	Intergenic	B2_Mm1a|SINE|B2	-6683	NM_001113424	232566	Mm.209147	NM_001113424	ENSMUSG00000068250	Amn1	5830467E07Rik|A230083D09|C730024G19Rik	antagonist of mitotic exit network 1	protein-coding
chr3-32573	chr3	105727405	105861894	+	1021.6	2.855	intron (NM_145541, intron 1 of 7)	intron (NM_145541, intron 1 of 7)	6732	NM_145541	109905	Mm.101922	NM_145541	ENSMUSG00000068798	Rap1a	AI848598|G-22K|Krev-1|Rap1	RAS-related protein-1a	protein-coding
chr16-27058	chr16	78476339	78606698	+	1021.4	2.762	3' UTR (NM_025967, exon 5 of 5)	3' UTR (NM_025967, exon 5 of 5)	-18798	NR_040569	75818	Mm.410817	NR_040569		4930478L05Rik	-	RIKEN cDNA 4930478L05 gene	ncRNA
chr16-32518	chr16	94167501	94270034	+	1020.3	2.952	intron (NM_139145, intron 5 of 9)	RSINE1|SINE|B4	69089	NM_139145	110948	Mm.30921	NM_139145	ENSMUSG00000040820	Hlcs	410I21.SP6|D16Jhu34	holocarboxylase synthetase (biotin- [propriony-Coenzyme A-carboxylase (ATP-hydrolysing)] ligase)	protein-coding
chr3-15416	chr3	129520757	129633809	+	1018.6	3.243	intron (NM_130450, intron 2 of 4)	intron (NM_130450, intron 2 of 4)	44897	NM_130450	170439	Mm.314113	NM_130450	ENSMUSG00000041220	Elovl6	C77826|FAE|LCE	ELOVL family member 6, elongation of long chain fatty acids (yeast)	protein-coding
chr9-48911	chr9	43973883	44054652	+	1013.7	3.445	Intergenic	Intergenic	-29117	NM_009382	21838	Mm.3951	NM_009382	ENSMUSG00000032011	Thy1	CD90|T25|Thy-1|Thy-1.2|Thy1.1|Thy1.2	thymus cell antigen 1, theta	protein-coding
chr4-37674	chr4	134058062	134137133	+	1009.7	3.416	Intergenic	Intergenic	-2524	NM_013706	23833	Mm.24130	NM_013706	ENSMUSG00000000682	Cd52	AI463198|B7|B7-Ag|CAMPATH-1|CLS1|MB7	CD52 antigen	protein-coding
chr19-28971	chr19	57051469	57136136	+	1009.4	3.392	intron (NM_001290813, intron 6 of 20)	intron (NM_001290813, intron 6 of 20)	25222	NM_001103178	226251	Mm.217161	NM_178688	ENSMUSG00000025085	Ablim1	2210411C18Rik|2610209L21Rik|4833406P10Rik|9330196J19Rik|AV079770|AW060987|AW215784|Limab1|mKIAA0059	actin-binding LIM protein 1	protein-coding
chr3-24310	chr3	95174184	95296574	+	1008.1	3.350	3' UTR (NM_172395, exon 5 of 5)	3' UTR (NM_172395, exon 5 of 5)	5730	NM_001024841	229588	Mm.387177	NM_001024841		Gm128	Ment|pmis1	predicted gene 128	protein-coding
chr19-10896	chr19	8918920	9001222	+	1006.5	3.062	intron (NM_197993, intron 4 of 8)	B1_Mus1|SINE|Alu	6221	NM_197993	70044	Mm.165979	NM_197993	ENSMUSG00000071645	Tut1	2700038E08Rik|PAPD2|Rbm21|TUTase6	terminal uridylyl transferase 1, U6 snRNA-specific	protein-coding
chr17-41606	chr17	35803270	35925471	+	1004.3	2.506	intron (NM_134122, intron 3 of 3)	intron (NM_134122, intron 3 of 3)	-1225	NM_001146711	76448	Mm.359982	NM_175242	ENSMUSG00000034595	Ppp1r18	2310014H01Rik|AA407849|AI450394	protein phosphatase 1, regulatory subunit 18	protein-coding
chr2-32202	chr2	152768617	152886461	+	1004.1	1.794	intron (NM_001289717, intron 2 of 2)	intron (NM_001289717, intron 2 of 2)	3178	NM_001289739	12048	Mm.238213	NM_009743	ENSMUSG00000007659	Bcl2l1	Bcl(X)L|Bcl-XL|Bcl2l|BclX|bcl-x|bcl2-L-1	BCL2-like 1	protein-coding
chr14-31035	chr14	79225342	79346656	+	1004.0	1.844	Intergenic	Intergenic	15636	NM_025427	66214	Mm.29811	NM_025427	ENSMUSG00000022018	Rgcc	1190002H23Rik|Rgc-32|Rgc32	regulator of cell cycle	protein-coding
chr2-60105	chr2	75679272	75792975	+	1003.0	1.848	Intergenic	Intergenic	-31482	NM_010902	18024	Mm.1025	NM_010902	ENSMUSG00000015839	Nfe2l2	AI194320|Nrf2	nuclear factor, erythroid derived 2, like 2	protein-coding
chr2-42663	chr2	174555569	174639710	+	1002.8	1.687	Intergenic	Intergenic	-45895	NM_001099328	100043757	Mm.48711	NM_001099328	ENSMUSG00000050600	Zfp831	ENSMUSG00000050600|OTTMUSG00000017459	zinc finger protein 831	protein-coding
chr12-35785	chr12	51807907	51895855	+	1000.8	1.548	Intergenic	Intergenic	-22345	NM_144788	207304	Mm.249391	NM_144788	ENSMUSG00000035247	Hectd1	A630086P08Rik|AI844876|b2b327Clo|opm	HECT domain containing 1	protein-coding
chr6-44532	chr6	128782875	128872924	+	1000.4	1.929	Intergenic	Intergenic	-1584	NM_030599	80782	Mm.6180	NM_030599	ENSMUSG00000079298	Klrb1b	Klrb1d|Ly55b|Ly55d|NKR-P1B|NKR-P1D|Nkrp1-b|Nkrp1d	killer cell lectin-like receptor subfamily B member 1B	protein-coding
chr7-26601	chr7	101041310	101142890	+	999.9	1.987	Intergenic	Intergenic	-16675	NM_001146010	207278	Mm.263041	NM_199012	ENSMUSG00000030691	Fchsd2	BC034086|R74866|Sh3md3|mKIAA0769	FCH and double SH3 domains 2	protein-coding
chr3-38330	chr3	115923142	116008588	+	998.6	1.929	intron (NM_023214, intron 8 of 10)	MIRb|SINE|MIR	41541	NM_023214	66500	Mm.34550	NM_023214	ENSMUSG00000054414	Slc30a7	1810059J10Rik|2610034N15Rik|4833428C12Rik|AI467242|ZnT-7|ZnT7|Zntl2	solute carrier family 30 (zinc transporter), member 7	protein-coding
chr5-7859	chr5	120612434	120717085	+	997.8	2.365	exon (NM_013832, exon 13 of 22)	exon (NM_013832, exon 13 of 22)	15571	NM_001281999	19415	Mm.41209	NM_013832	ENSMUSG00000029602	Rasal1	MRASAL	RAS protein activator like 1 (GAP1 like)	protein-coding
chr6-51596	chr6	125211226	125276723	+	996.3	2.863	Intergenic	Intergenic	-6947	NM_001033126	21940	Mm.367714	NM_001033126	ENSMUSG00000030336	Cd27	S152|Tnfrsf7|Tp55	CD27 antigen	protein-coding
chr8-29330	chr8	34139957	34242927	+	994.1	4.062	Intergenic	ORR1C1|LTR|ERVL-MaLR	-24730	NR_105820	102465211		NR_105820	miRBase:MI0021930	Mir6395	mmu-mir-6395	microRNA mir-6395	ncRNA
chr5-34398	chr5	122968650	123059429	+	993.8	4.062	Intergenic	Intergenic	-1035	NM_175423	109305	Mm.218582	NM_175423	ENSMUSG00000049686	Orai1	D730049H07Rik|Tmem142a|orai-1	ORAI calcium release-activated calcium modulator 1	protein-coding
chr3-16268	chr3	68929874	69045672	+	993.1	4.035	intron (NM_026641, intron 4 of 19)	intron (NM_026641, intron 4 of 19)	16797	NM_026641	68259	Mm.389451	NM_026641	ENSMUSG00000027778	Ift80	4921524P20Rik|Wdr56|mKIAA1374	intraflagellar transport 80	protein-coding
chr13-26306	chr13	46689902	46801587	+	990.7	3.917	Intergenic	Intergenic	-17895	NM_175749	218210	Mm.255398	NM_175749	ENSMUSG00000021374	Nup153	B130015D15Rik|C88147	nucleoporin 153	protein-coding
chr8-39674	chr8	36081817	36194715	+	986.0	4.096	intron (NM_172911, intron 4 of 5)	B4|SINE|B4	43438	NM_172911	244418	Mm.244971	NM_172911	ENSMUSG00000050271	D8Ertd82e	9830148H23|Sgk223|mFLJ00269	DNA segment, Chr 8, ERATO Doi 82, expressed	protein-coding
chr15-22069	chr15	57692838	57841021	+	979.5	3.903	intron (NM_199449, intron 2 of 3)	intron (NM_199449, intron 2 of 3)	72262	NM_199449	387609	Mm.36557	NM_199449	ENSMUSG00000071757	Zhx2	Afr-1|Afr1|Raf|mKIAA0854	zinc fingers and homeoboxes 2	protein-coding
chr12-39927	chr12	3793295	3913852	+	979.0	3.882	intron (NM_007872, intron 3 of 22)	intron (NM_007872, intron 3 of 22)	8671	NR_045884	100038522	Mm.417270	NR_045884	ENSMUSG00000073242	Dnmt3aos	ENSMUSG00000073242|Gm10485	DNA methyltransferase 3A, opposite strand	ncRNA
chr2-34856	chr2	60737356	60889095	+	977.8	4.235	intron (NM_020296, intron 2 of 13)	intron (NM_020296, intron 2 of 13)	68213	NM_001141932	56878	Mm.259667	NM_020296	ENSMUSG00000026970	Rbms1	2600014B10Rik|AI255215|MSSP-1|MSSP-2|MSSP-3|YC1	RNA binding motif, single stranded interacting protein 1	protein-coding
chr4-26869	chr4	63355244	63442546	+	977.6	4.085	intron (NM_001045514, intron 1 of 21)	L1MB5|LINE|L1	4550	NM_001045514	100182	Mm.387725	NM_001045514	ENSMUSG00000039158	Akna	AI597013|mKIAA1968	AT-hook transcription factor	protein-coding
chr1-55533	chr1	134053538	134109048	+	975.3	3.634	Intergenic	Intergenic	-2138	NM_007570	12227	Mm.392646	NM_007570	ENSMUSG00000020423	Btg2	AA959598|APRO1|Pc3|TIS21	B cell translocation gene 2, anti-proliferative	protein-coding
chr19-9007	chr19	29142126	29274974	+	974.0	2.393	Intergenic	Intergenic	-43253	NM_008413	16452	Mm.275839	NM_008413	ENSMUSG00000024789	Jak2	Fd17	Janus kinase 2	protein-coding
chr4-52340	chr4	149839323	149954686	+	973.8	2.358	3' UTR (NM_029035, exon 3 of 3)	3' UTR (NM_029035, exon 3 of 3)	58002	NM_029035	74646	Mm.30	NM_029035	ENSMUSG00000039911	Spsb1	1110014L01Rik|4930422J18Rik|AI596360|AI854583|SSB-1|SSB1	splA/ryanodine receptor domain and SOCS box containing 1	protein-coding
chr2-59555	chr2	62335257	62463553	+	971.3	2.424	intron (NM_001159543, intron 2 of 24)	intron (NM_001159543, intron 2 of 24)	12826	NM_010074	13482	Mm.1151	NM_010074	ENSMUSG00000035000	Dpp4	Cd26|Dpp-4|THAM	dipeptidylpeptidase 4	protein-coding
chr11-66359	chr11	116336975	116446073	+	969.6	2.500	intron (NM_027258, intron 2 of 18)	IAPEz-int|LTR|ERVK	21508	NM_027258	217340	Mm.426344	NM_027258	ENSMUSG00000052949	Rnf157	2610036E23Rik|A130073L17Rik|mKIAA1917	ring finger protein 157	protein-coding
chr1-58539	chr1	191363326	191463298	+	967.3	2.149	Intergenic	L1MA9|LINE|L1	-16271	NM_144880	226849	Mm.205569	NM_144880	ENSMUSG00000026626	Ppp2r5a	PR61alpha	protein phosphatase 2, regulatory subunit B', alpha	protein-coding
chr11-72124	chr11	75173809	75296925	+	967.2	1.975	intron (NM_177708, intron 1 of 1)	intron (NM_177708, intron 1 of 1)	41374	NM_177708	237847	Mm.82661	NM_177708	ENSMUSG00000045287	Rtn4rl1	Ngr3|Ngrh2|Ngrl2	reticulon 4 receptor-like 1	protein-coding
chr6-36832	chr6	91015459	91130699	+	966.8	2.080	intron (NM_018815, intron 10 of 39)	intron (NM_018815, intron 10 of 39)	43747	NM_018815	54563	Mm.28162	NM_018815	ENSMUSG00000030091	Nup210	9830001L10|AI836801|Pom210|gp190|gp210	nucleoporin 210	protein-coding
chr17-40280	chr17	28206367	28315701	+	965.4	1.619	intron (NM_011145, intron 2 of 7)	intron (NM_011145, intron 2 of 7)	-10674	NR_045427	69050	Mm.486938	NR_045427	ENSMUSG00000002250	1810013A23Rik	-	RIKEN cDNA 1810013A23 gene	ncRNA
chr3-39376	chr3	152869803	152970619	+	964.8	1.497	intron (NM_012028, intron 2 of 4)	intron (NM_012028, intron 2 of 4)	61996	NM_012028	26938	Mm.40915	NM_012028		St6galnac5	AI851940|Siat7e	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5	protein-coding
chr7-55846	chr7	28764865	28850858	+	964.2	1.104	Intergenic	Intergenic	-3029	NM_177301	15388	Mm.9043	NM_177301	ENSMUSG00000015165	Hnrnpl	C79783|D830027H13Rik|Hnrpl	heterogeneous nuclear ribonucleoprotein L	protein-coding
chr12-42376	chr12	69183316	69305519	+	963.9	1.273	intron (NM_178253, intron 1 of 12)	intron (NM_178253, intron 1 of 12)	2585	NM_178253	271005	Mm.180969	NM_178253		Klhdc1	-	kelch domain containing 1	protein-coding
chr3-36503	chr3	89368249	89462752	+	963.1	1.461	TTS (NM_016904)	TTS (NM_016904)	2791	NM_016904	54124	Mm.3049	NM_016904	ENSMUSG00000028044	Cks1b	2410005G18Rik|2610005D03Rik|AA407784|Cks1|sid1334	CDC28 protein kinase 1b	protein-coding
chr13-36839	chr13	63207682	63337030	+	963.0	1.296	intron (NR_110520, intron 2 of 5)	intron (NR_110520, intron 2 of 5)	24791	NR_045794	100504114	Mm.437070	NR_045794	ENSMUSG00000097242	Gm16907	-	predicted gene, 16907	ncRNA
chr16-22349	chr16	43615465	43730319	+	961.9	1.218	Intergenic	ORR1B2|LTR|ERVL-MaLR	-8708	NM_001146325	100043314	Mm.390896	NM_001146325	ENSMUSG00000071552	Tigit	ENSMUSG00000071552|Vstm3	T cell immunoreceptor with Ig and ITIM domains	protein-coding
chr10-47410	chr10	99165516	99270327	+	961.7	1.561	Intergenic	Intergenic	-45310	NM_026268	67603	Mm.1791	NM_026268	ENSMUSG00000019960	Dusp6	1300019I03Rik|MKP-3|MKP3|PYST1	dual specificity phosphatase 6	protein-coding
chr16-29535	chr16	24150589	24275997	+	960.7	1.801	Intergenic	MIRb|SINE|MIR	-180057	NM_178665	210126	Mm.209385	NM_178665	ENSMUSG00000033306	Lpp	9430020K16Rik|AA959454|AU024130|B130055L10Rik|C79715|D630048H16	LIM domain containing preferred translocation partner in lipoma	protein-coding
chr6-26495	chr6	30246792	30355926	+	959.3	1.855	intron (NM_001169576, intron 1 of 4)	intron (NM_001169576, intron 1 of 4)	3180	NM_001169576	22214	Mm.332967	NM_009459	ENSMUSG00000039159	Ube2h	1500009C23Rik|AI181839|AI326965|AI462483|AW227540|E2-20K|Gid3|N28148|Ubc8	ubiquitin-conjugating enzyme E2H	protein-coding
chr10-49126	chr10	12789025	12888781	+	958.7	2.099	intron (NM_011682, intron 1 of 73)	intron (NM_011682, intron 1 of 73)	22832	NM_011682	22288	Mm.331784	NM_011682	ENSMUSG00000019820	Utrn	AA589569|DRP|Dmdl	utrophin	protein-coding
chr5-19617	chr5	107677918	107788408	+	958.5	1.939	Intergenic	L1MA4|LINE|L1	-7358	NM_001267621	14581	Mm.2078	NM_010278	ENSMUSG00000029275	Gfi1	AW495828|Gfi-1|Pal-1|Pal1	growth factor independent 1	protein-coding
chr8-42566	chr8	105983307	106084278	+	956.2	2.485	intron (NM_025518, intron 6 of 15)	intron (NM_025518, intron 6 of 15)	-22306	NM_028038	71986	Mm.307515	NM_028038	ENSMUSG00000045538	Ddx28	2410004K13Rik|AI449652|Mddx28	DEAD (Asp-Glu-Ala-Asp) box polypeptide 28	protein-coding
chr5-36209	chr5	23375534	23466051	+	954.6	2.759	Intergenic	Intergenic	13561	NR_040469	269630	Mm.425231	NR_040469	ENSMUSG00000073147	5031425E22Rik	-	RIKEN cDNA 5031425E22 gene	ncRNA
chr18-21963	chr18	38992350	39088991	+	953.5	2.841	intron (NM_175164, intron 1 of 22)	intron (NM_175164, intron 1 of 22)	47525	NM_175164	71302	Mm.329396	NM_175164	ENSMUSG00000036452	Arhgap26	1810044B20Rik|2610010G17Rik|4933432P15Rik|AI853435|mKIAA0621	Rho GTPase activating protein 26	protein-coding
chr8-31831	chr8	116581018	116694295	+	952.2	3.116	intron (NM_029441, intron 1 of 6)	MER58A|DNA|hAT-Charlie	95335	NM_029441	75796	Mm.159575	NM_029441	ENSMUSG00000031758	Cdyl2	1700029M19Rik|4930453I21Rik|Gm20194	chromodomain protein, Y chromosome-like 2	protein-coding
chr3-18371	chr3	60460246	60542728	+	952.0	3.563	intron (NM_001253709, intron 1 of 8)	CpG	235	NM_001253711	56758	Mm.255723	NM_020007	ENSMUSG00000027763	Mbnl1	Mbnl|mKIAA0428	muscleblind-like 1 (Drosophila)	protein-coding
chr4-29629	chr4	11073721	11165288	+	948.9	3.350	Intergenic	MTC|LTR|ERVL-MaLR	-14593	NR_030455	735261		NR_030455		Mir684-2	Mirn684-2	microRNA 684-2	ncRNA
chr6-35129	chr6	41084910	41235993	+	946.5	3.124	Intergenic	L2a|LINE|L2	-124942	NM_023333	67373	Mm.153729	NM_023333	ENSMUSG00000029882	2210010C04Rik	AV072249	RIKEN cDNA 2210010C04 gene	protein-coding
chr3-27421	chr3	88090802	88178514	+	944.7	3.231	Intergenic	ORR1D1|LTR|ERVL-MaLR	-7737	NM_133665	17261	Mm.28184	NM_133665	ENSMUSG00000001419	Mef2d	C80750	myocyte enhancer factor 2D	protein-coding
chr5-37491	chr5	64952163	65057781	+	942.7	4.025	intron (NM_026667, intron 3 of 13)	intron (NM_026667, intron 3 of 13)	34654	NR_030577	100124451		NR_030577	miRBase:MI0005518	Mir574	Mirn574|mmu-mir-574	microRNA 574	ncRNA
