PeakID (cmd=annotatePeaks.pl AND-CD4TCell-H3K27Ac-1uM-K99A-24h-MNase-Combined_superenhancers.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr18-17240	chr18	62064016	62192925	+	1240.5	3.825	Intergenic	Intergenic	51511	NM_007420	11555	Mm.5598	NM_007420	ENSMUSG00000045730	Adrb2	Adrb-2|Badm|Gpcr7	adrenergic receptor, beta 2	protein-coding
chr6-36694	chr6	54021149	54180366	+	1238.8	4.189	intron (NM_001163640, intron 1 of 12)	intron (NM_001163640, intron 1 of 12)	60825	NM_001163640	69993	Mm.321147	NM_023543	ENSMUSG00000004633	Chn2	1700026N20Rik|4930557O16Rik|ARHGAP3|Bch	chimerin 2	protein-coding
chr3-51663	chr3	152869265	152972977	+	1232.3	4.353	intron (NM_012028, intron 2 of 4)	B4A|SINE|B4	61086	NM_012028	26938	Mm.40915	NM_012028		St6galnac5	AI851940|Siat7e	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5	protein-coding
chr1-70816	chr1	58651419	58778227	+	1229.7	4.056	intron (NM_207653, intron 1 of 9)	(CAA)n|Simple_repeat|Simple_repeat	1537	NM_009805	12633	Mm.336848	NM_009805	ENSMUSG00000026031	Cflar	2310024N18Rik|A430105C05Rik|CLARP|Cash|Casper|ENSMUSG00000072980|FLAME|FLAME-1|Flip|Gm9845|I-FLICE|MRIT|c-Flip	CASP8 and FADD-like apoptosis regulator	protein-coding
chr18-31175	chr18	89152576	89273693	+	1227.6	4.077	intron (NM_178687, intron 3 of 6)	L1Md_A|LINE|L1	15707	NM_178687	225825	Mm.139293	NM_178687	ENSMUSG00000034028	Cd226	BC051526|DNAM-1|DNAM1|Pta1|TLiSA1	CD226 antigen	protein-coding
chr5-75165	chr5	136365014	136568237	+	1222.2	4.442	intron (NM_001291239, intron 2 of 22)	intron (NM_001291239, intron 2 of 22)	-90822	NR_030500	723975		NR_030500		Mir721	Mirn721|miRY|mir-721|mmu-mir-721	microRNA 721	ncRNA
chr17-57345	chr17	51728965	51858387	+	1219.0	4.247	intron (NM_001163631, intron 5 of 10)	intron (NM_001163631, intron 5 of 10)	18378	NM_001163630	20230	Mm.311655	NM_009122	ENSMUSG00000023927	Satb1	2610306G12Rik|AW413156	special AT-rich sequence binding protein 1	protein-coding
chr14-48098	chr14	40896914	40974408	+	1217.4	3.672	intron (NM_145928, intron 1 of 8)	intron (NM_145928, intron 1 of 8)	31146	NM_145928	52588	Mm.28876	NM_145928	ENSMUSG00000037824	Tspan14	AA958793|D14Ertd226e|Tm4sf14	tetraspanin 14	protein-coding
chr13-39244	chr13	117175954	117261374	+	1216.7	3.444	Intergenic	RMER17C|LTR|ERVK	-1909	NM_010330	13723	Mm.274926	NM_010330	ENSMUSG00000021728	Emb	AL022799|Gp70	embigin	protein-coding
chr15-42893	chr15	36684362	36837371	+	1214.7	3.604	Intergenic	RMER1B|Other|Other	30066	NM_001253807	22631	Mm.3360	NM_011740	ENSMUSG00000022285	Ywhaz	1110013I11Rik|14-3-3zeta|AI596267|AL022924|AU020854	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	protein-coding
chr3-52505	chr3	28234326	28448560	+	1212.2	2.833	intron (NM_001163007, intron 1 of 31)	intron (NM_001163007, intron 1 of 31)	78229	NM_001163008	665113	Mm.126193	NM_026910	ENSMUSG00000027692	Tnik	1500031A17Rik|4831440I19Rik|AI451411|C530008O15Rik|C630040K21Rik	TRAF2 and NCK interacting kinase	protein-coding
chr9-61850	chr9	42022614	42170143	+	1211.8	2.771	intron (NM_011436, intron 3 of 47)	MTC|LTR|ERVL-MaLR	27911	NM_011436	20660	Mm.121920	NM_011436		Sorl1	2900010L19Rik|AI596264|AW261561|LR11|SorLA|gp250|mSorLA	sortilin-related receptor, LDLR class A repeats-containing	protein-coding
chr11-51649	chr11	57607439	57733211	+	1208.9	2.941	intron (NM_134189, intron 1 of 11)	RSINE1|SINE|B4	24883	NM_134189	171212	Mm.271670	NM_134189	ENSMUSG00000020520	Galnt10	AU018154|C330012K04Rik|GalNAc-T10|GalNAc-T9|Galnt9|ppGaNTase	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10	protein-coding
chr6-73762	chr6	125211218	125277302	+	1207.8	2.843	Intergenic	Intergenic	-7233	NM_001033126	21940	Mm.367714	NM_001033126	ENSMUSG00000030336	Cd27	S152|Tnfrsf7|Tp55	CD27 antigen	protein-coding
chr5-50322	chr5	105033296	105160439	+	1204.7	2.609	intron (NM_172777, intron 3 of 10)	Lx5|LINE|L1	13425	NM_172777	236573	Mm.425261	NM_172777	ENSMUSG00000029298	Gbp9	-	guanylate-binding protein 9	protein-coding
chr11-58679	chr11	100804649	100907038	+	1204.2	2.315	Intergenic	Intergenic	-3508	NM_011488	20850	Mm.277403	NM_011488	ENSMUSG00000004043	Stat5a	AA959963|STAT5	signal transducer and activator of transcription 5A	protein-coding
chr5-25841	chr5	107915890	107988286	+	1201.4	2.270	intron (NM_026062, intron 1 of 4)	B1_Mus2|SINE|Alu	34989	NM_026062	67266	Mm.277897	NM_026062	ENSMUSG00000029270	Fam69a	2900024C23Rik|AI315274	family with sequence similarity 69, member A	protein-coding
chr10-52684	chr10	62500649	62604121	+	1198.7	1.874	Intergenic	Lx7|LINE|L1	26072	NM_028197	72320	Mm.258955	NM_028197	ENSMUSG00000036955	2510003E04Rik	0710007C18Rik|KBP|mKIAA1279	RIKEN cDNA 2510003E04 gene	protein-coding
chr14-50773	chr14	77795641	77935992	+	1198.6	1.768	intron (NM_025384, intron 1 of 5)	intron (NM_025384, intron 1 of 5)	9101	NM_025384	66148	Mm.248046	NM_025384	ENSMUSG00000022013	Dnajc15	1110003P16Rik|Dnajd1	DnaJ (Hsp40) homolog, subfamily C, member 15	protein-coding
chr1-84663	chr1	164032089	164158468	+	1198.2	1.362	Intergenic	B2_Mm1t|SINE|B2	-19986	NM_011347	20344	Mm.3337	NM_011347	ENSMUSG00000026580	Selp	CD62P|GMP-140|Grmp|LECAM3|PADGEM	selectin, platelet	protein-coding
chr13-54320	chr13	63179643	63331512	+	1197.5	1.326	intron (NR_110520, intron 2 of 5)	intron (NR_110520, intron 2 of 5)	15548	NR_110521	72061	Mm.188105	NM_028079	ENSMUSG00000021458	2010111I01Rik	2300006M17Rik|AP-O|Aopep	RIKEN cDNA 2010111I01 gene	protein-coding
