PeakID (cmd=annotatePeaks.pl AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr10-59544	chr10	121409096	121521377	+	1154.5	3.881	intron (NM_138956, intron 1 of 4)	intron (NM_138956, intron 1 of 4)	11014	NM_138956	192678	Mm.41265	NM_138956	ENSMUSG00000025795	Rassf3	AW212023|AW322379	Ras association (RalGDS/AF-6) domain family member 3	protein-coding
chr2-57243	chr2	102810513	102916888	+	1152.6	4.918	intron (NM_001177787, intron 2 of 10)	intron (NM_001177787, intron 2 of 10)	37965	NM_001177785	12505	Mm.423621	NM_009851	ENSMUSG00000005087	Cd44	AU023126|AW121933|AW146109|HERMES|Ly-24|Pgp-1	CD44 antigen	protein-coding
chr8-19002	chr8	72131106	72220707	+	1152.2	5.404	exon (NM_023126, exon 5 of 8)	exon (NM_023126, exon 5 of 8)	-13762	NM_197944	209488	Mm.157431	NM_197944	ENSMUSG00000062007	Hsh2d	ALX|Hsh2	hematopoietic SH2 domain containing	protein-coding
chr5-45843	chr5	122965602	123059181	+	1151.3	4.966	Intergenic	Intergenic	-2683	NM_175423	109305	Mm.218582	NM_175423	ENSMUSG00000049686	Orai1	D730049H07Rik|Tmem142a|orai-1	ORAI calcium release-activated calcium modulator 1	protein-coding
chr4-24712	chr4	133649955	133757895	+	1144.9	5.145	intron (NM_001080819, intron 4 of 19)	intron (NM_001080819, intron 4 of 19)	13183	NR_106086	102465707		NR_106086		Mir7227	mmu-mir-7227	microRNA mir-7227	ncRNA
chr10-24230	chr10	58322843	58411439	+	1143.8	4.949	intron (NM_026148, intron 1 of 9)	intron (NM_026148, intron 1 of 9)	-4313	NM_201242	110829	Mm.57734	NM_026148	ENSMUSG00000019920	Lims1	2310016J22Rik|4921524A02Rik|AI507642|AU021743|AW551584|C430041B13Rik|Lims1l|PINCH|PINCH1	LIM and senescent cell antigen-like domains 1	protein-coding
chr11-66797	chr11	54700385	54834044	+	1137.7	4.562	intron (NM_178626, intron 1 of 5)	intron (NM_178626, intron 1 of 5)	20489	NM_178626	72729	Mm.29476	NM_178626	ENSMUSG00000052298	Cdc42se2	2810404F18Rik|AA408783|AA536669|SPEC2	CDC42 small effector 2	protein-coding
chr15-43488	chr15	97404817	97472573	+	1133.7	4.931	Intergenic	Intergenic	-191408	NM_001164563	105827	Mm.24005	NM_178114	ENSMUSG00000048218	Amigo2	AI415330|AMIGO-2|AW208913|Ali1	adhesion molecule with Ig like domain 2	protein-coding
chr10-5752	chr10	80656612	80714409	+	1133.7	5.367	3' UTR (NM_172457, exon 4 of 4)	3' UTR (NM_172457, exon 4 of 4)	-13534	NM_021462	17347	Mm.42126	NM_021462	ENSMUSG00000020190	Mknk2	2010016G11Rik|Gprk7|Mnk2	MAP kinase-interacting serine/threonine kinase 2	protein-coding
chr16-37742	chr16	84578863	84654276	+	1132.0	4.677	Intergenic	Intergenic	-63220	NR_040537	78023	Mm.243853	NR_040537		4930529L06Rik	-	RIKEN cDNA 4930529L06 gene	ncRNA
chr9-23536	chr9	7823256	7897308	+	1131.0	4.312	exon (NM_007464, exon 3 of 9)	exon (NM_007464, exon 3 of 9)	12888	NM_007464	11796	Mm.2026	NM_007464	ENSMUSG00000032000	Birc3	AW107670|Api1|Api2|Birc2|HIAP2|IAP1|IAP2|MIAP1|MIAP2|MIHB|MIHC|RNF49|cIAP-1|cIAP-2|cIAP1|cIAP2	baculoviral IAP repeat-containing 3	protein-coding
chr5-46345	chr5	136410846	136568240	+	1131.0	5.323	intron (NM_001291234, intron 1 of 22)	intron (NM_001291234, intron 1 of 22)	76438	NM_001291233	13047	Mm.320317	NM_009986	ENSMUSG00000029705	Cux1	CDP|Cutl1|Cux|Cux-1	cut-like homeobox 1	protein-coding
chr19-21930	chr19	8711169	8823605	+	1128.8	4.264	exon (NM_016813, exon 14 of 21)	exon (NM_016813, exon 14 of 21)	-3609	NM_025791	66836	Mm.440071	NM_025791	ENSMUSG00000075043	Tmem223	0610006I08Rik	transmembrane protein 223	protein-coding
chr18-9216	chr18	4266286	4378682	+	1125.9	4.546	Intergenic	L1_Mus3|LINE|L1	30469	NM_007746	26410	Mm.3275	NM_007746	ENSMUSG00000024235	Map3k8	Cot|Cot/Tpl2|Est|Estf|Tpl-2|Tpl2|c-COT	mitogen-activated protein kinase kinase kinase 8	protein-coding
chr2-65827	chr2	172369646	172442032	+	1122.7	4.262	intron (NM_001276422, intron 1 of 5)	RSINE1|SINE|B4	12045	NM_001276423	320664	Mm.210195	NM_001033538	ENSMUSG00000074570	Cass4	F730031O20Rik	Cas scaffolding protein family member 4	protein-coding
chr15-40758	chr15	53207730	53347404	+	1118.6	5.260	intron (NM_010162, intron 1 of 10)	L1_Mus3|LINE|L1	68616	NM_010162	14042	Mm.309395	NM_010162		Ext1	AA409028	exostoses (multiple) 1	protein-coding
chr5-58818	chr5	142877273	142975081	+	1117.3	5.921	Intergenic	PB1D10|SINE|Alu	-19453	NM_007393	11461	Mm.328431	NM_007393	ENSMUSG00000029580	Actb	Actx|E430023M04Rik|beta-actin	actin, beta	protein-coding
chr16-36538	chr16	43541432	43668425	+	1113.5	5.794	intron (NM_181058, intron 5 of 6)	intron (NM_181058, intron 5 of 6)	-35727	NR_030576	100124467		NR_030576	miRBase:MI0005517	Mir568	Mirn568|mmu-mir-568	microRNA 568	ncRNA
chr16-32754	chr16	49748094	49820587	+	1112.2	5.642	Intergenic	Intergenic	-71314	NM_010581	16423	Mm.31752	NM_010581	ENSMUSG00000055447	Cd47	9130415E20Rik|AA407862|AI848868|AW108519|B430305P08Rik|IAP|Itgp	CD47 antigen (Rh-related antigen, integrin-associated signal transducer)	protein-coding
chr9-20111	chr9	123923160	123994626	+	1111.8	5.460	Intergenic	Intergenic	9799	NM_009912	12768	Mm.274927	NM_009912	ENSMUSG00000025804	Ccr1	Cmkbr1|Mip-1a-R	chemokine (C-C motif) receptor 1	protein-coding
chr10-47035	chr10	96683449	96731877	+	1106.1	4.891	Intergenic	Intergenic	90662	NM_007569	12226	Mm.23811	NM_007569	ENSMUSG00000036478	Btg1	AI426953|AW546738	B cell translocation gene 1, anti-proliferative	protein-coding
chr5-29762	chr5	37037147	37122165	+	1102.9	5.131	intron (NM_178394, intron 1 of 12)	RLTR31B2|LTR|ERVK	28799	NM_178394	76071	Mm.85280	NM_178394	ENSMUSG00000063646	Jakmip1	5830437M04Rik|C330021K24Rik|Gababrbp|Marlin-1	janus kinase and microtubule interacting protein 1	protein-coding
chr10-43226	chr10	128692628	128807090	+	1101.4	4.467	intron (NM_001170869, intron 1 of 2)	intron (NM_001170869, intron 1 of 2)	1404	NM_001253704	78428	Mm.27358	NM_030100	ENSMUSG00000064030	Wibg	A030010B05Rik|Pym	within bgcn homolog (Drosophila)	protein-coding
chr8-35521	chr8	81541518	81667900	+	1099.1	4.594	intron (NM_001297596, intron 2 of 24)	L1MC4|LINE|L1	262147	NM_001024617	234515	Mm.324468	NM_001024617	ENSMUSG00000037940	Inpp4b	E130107I17Rik	inositol polyphosphate-4-phosphatase, type II	protein-coding
chr15-27041	chr15	97311265	97392072	+	1096.9	4.613	intron (NM_172293, intron 3 of 5)	A-rich|Low_complexity|Low_complexity	-104381	NM_001164563	105827	Mm.24005	NM_178114	ENSMUSG00000048218	Amigo2	AI415330|AMIGO-2|AW208913|Ali1	adhesion molecule with Ig like domain 2	protein-coding
chr7-62318	chr7	140982075	141110068	+	1095.4	3.641	Intergenic	Intergenic	-15203	NM_177897	330671	Mm.133741	NM_177897	ENSMUSG00000055629	B4galnt4	BC038881|Gm1095|beta4GalNAcT4	beta-1,4-N-acetyl-galactosaminyl transferase 4	protein-coding
chr4-24751	chr4	134081364	134131029	+	1093.0	3.609	intron (NR_045571, intron 1 of 13)	intron (NR_045571, intron 1 of 13)	3613	NR_045571	67586	Mm.282029	NM_026257	ENSMUSG00000012126	Ubxn11	4930506L07Rik|D4Bwg1540e|Soc|Soci|Ubxd5	UBX domain protein 11	protein-coding
chr16-37252	chr16	55869556	55975797	+	1092.4	3.365	intron (NM_028815, intron 5 of 10)	intron (NM_028815, intron 5 of 10)	12172	NM_001159366	74201	Mm.178427	NM_028815	ENSMUSG00000022604	Cep97	2810403B08Rik|4932439K18Rik|AA437768|E130116N02Rik|Lrriq2	centrosomal protein 97	protein-coding
chr8-25209	chr8	120682447	120771424	+	1090.4	3.048	Intergenic	Intergenic	-9441	NM_008320	15900	Mm.334861	NM_008320	ENSMUSG00000041515	Irf8	AI893568|ICSBP|IRF-8|Icsbp1|Myls	interferon regulatory factor 8	protein-coding
chr15-39270	chr15	97742500	97850621	+	1090.0	2.615	intron (NM_019572, intron 20 of 23)	intron (NM_019572, intron 20 of 23)	12195	NM_026353	67739	Mm.28955	NM_026353	ENSMUSG00000081534	Slc48a1	4930570C03Rik	solute carrier family 48 (heme transporter), member 1	protein-coding
chr3-24954	chr3	106768861	106835434	+	1088.9	2.492	Intergenic	MTC|LTR|ERVL-MaLR	-11998	NM_007651	12508	Mm.316861	NM_007651	ENSMUSG00000040747	Cd53	AI323659|Ox-44|Tspan25	CD53 antigen	protein-coding
chr5-18711	chr5	107921931	107988134	+	1085.8	2.163	intron (NM_026062, intron 1 of 4)	ID_B1|SINE|B4	32045	NM_026062	67266	Mm.277897	NM_026062	ENSMUSG00000029270	Fam69a	2900024C23Rik|AI315274	family with sequence similarity 69, member A	protein-coding
chr11-57292	chr11	100804630	100866113	+	1085.4	2.156	intron (NM_001113563, intron 1 of 18)	B1_Mur2|SINE|Alu	-12801	NM_011489	20851	Mm.34064	NM_011489	ENSMUSG00000020919	Stat5b	-	signal transducer and activator of transcription 5B	protein-coding
chr5-33685	chr5	112241541	112303551	+	1084.7	3.046	Intergenic	ID_B1|SINE|B4	-4161	NM_009419	22022	Mm.250631	NM_009419	ENSMUSG00000029344	Tpst2	AI448750|D5Ucla3|Tango13b|grm|grt	protein-tyrosine sulfotransferase 2	protein-coding
chrX-8861	chrX	159673632	159772248	+	1084.5	2.958	intron (NM_021389, intron 1 of 16)	intron (NM_021389, intron 1 of 16)	14339	NR_110970	58194	Mm.286495	NM_021389	ENSMUSG00000040990	Sh3kbp1	1200007H22Rik|1700125L08Rik|5830464D22Rik|AI447724|IN85|Ruk|Seta	SH3-domain kinase binding protein 1	protein-coding
chr11-51546	chr11	79604648	79712112	+	1083.6	3.323	intron (NM_175543, intron 3 of 14)	MIRb|SINE|MIR	16706	NR_045898	72218	Mm.443271	NR_045898	ENSMUSG00000086569	Rab11fip4os2	1700020F10Rik|4930542H20Rik|Rab11fib4os2	RAB11 family interacting protein 4 (class II), opposite strand 2	ncRNA
chr5-38885	chr5	32029261	32160153	+	1082.8	2.769	Intergenic	Intergenic	-41765	NM_008037	14284	Mm.24684	NM_008037	ENSMUSG00000029135	Fosl2	Fra-2	fos-like antigen 2	protein-coding
chr13-42747	chr13	49239762	49310716	+	1082.1	2.872	intron (NM_015759, intron 12 of 17)	intron (NM_015759, intron 12 of 17)	-26533	NM_028340	66329	Mm.34308	NM_025491	ENSMUSG00000021384	Susd3	1700017I11Rik|2810440J20Rik	sushi domain containing 3	protein-coding
chr9-38973	chr9	14859967	14981019	+	1076.0	3.304	Intergenic	ORR1C1|LTR|ERVL-MaLR	-16542	NM_176807	64931	Mm.86738	NM_022888	ENSMUSG00000031933	Folr4	0910001L11Rik|C86255|Folbp3|Juno	folate receptor 4 (delta)	protein-coding
chr13-26288	chr13	13516695	13618543	+	1076.0	3.210	Intergenic	Intergenic	-22790	NM_010748	17101	Mm.342337	NM_010748	ENSMUSG00000019726	Lyst	D13Sfk13|beige|bg	lysosomal trafficking regulator	protein-coding
chr14-17917	chr14	54350687	54500090	+	1073.1	3.510	Intergenic	Intergenic	-1521	NM_026851	68836	Mm.248163	NM_026851	ENSMUSG00000010406	Mrpl52	1110047B07Rik	mitochondrial ribosomal protein L52	protein-coding
chr8-34262	chr8	25052247	25143789	+	1072.7	3.357	intron (NM_031257, intron 1 of 11)	intron (NM_031257, intron 1 of 11)	3793	NM_031257	83436	Mm.261122	NM_031257	ENSMUSG00000031557	Plekha2	6430512N22Rik|AI851530|AU041791|TAPP2|W91773	pleckstrin homology domain-containing, family A (phosphoinositide binding specific) member 2	protein-coding
chr12-30281	chr12	110463590	110547044	+	1071.8	3.235	intron (NM_012023, intron 1 of 13)	intron (NM_012023, intron 1 of 13)	19578	NM_001081458	26931	Mm.240396	NM_012023	ENSMUSG00000017843	Ppp2r5c	2610043M05Rik|2700063L20Rik|AI060890|AW545884|C85228|D12Bwg0916e|mKIAA0044	protein phosphatase 2, regulatory subunit B', gamma	protein-coding
chr3-31675	chr3	89859073	89918693	+	1069.5	2.060	intron (NM_010559, intron 3 of 9)	B3|SINE|B2	24279	NM_010559	16194	Mm.2856	NM_010559	ENSMUSG00000027947	Il6ra	CD126|IL-6R|Il6r	interleukin 6 receptor, alpha	protein-coding
chr4-52289	chr4	150513210	150613318	+	1068.8	2.559	intron (NM_001085492, intron 11 of 22)	intron (NM_001085492, intron 11 of 22)	88910	NM_173774	242773	Mm.29280	NM_173774		Slc45a1	C230078B22|Dnb5	solute carrier family 45, member 1	protein-coding
chr4-57492	chr4	133803852	133911444	+	1067.0	2.014	intron (NM_009097, intron 17 of 21)	B3A|SINE|B2	17083	NM_001285506	20111	Mm.301827	NM_009097	ENSMUSG00000003644	Rps6ka1	Mapkapk-1a|Rsk|Rsk-1|Rsk1|S6K-alpha-1|p90-Rsk1|p90Rsk1|p90S6K|p90rsk	ribosomal protein S6 kinase polypeptide 1	protein-coding
chr11-52073	chr11	96435024	96526052	+	1066.8	2.225	intron (NM_001177898, intron 1 of 10)	RLTR31C_MM|LTR|ERVK	15947	NM_001177898	78473	Mm.395840	NM_001033186	ENSMUSG00000057058	Skap1	1700091G21Rik|Scap1|Skap-55	src family associated phosphoprotein 1	protein-coding
chr2-73231	chr2	173016930	173096845	+	1066.8	1.958	Intergenic	Intergenic	34985	NM_019547	56190	Mm.485782	NM_019547	ENSMUSG00000027510	Rbm38	Rnpc1|Seb4|Seb4l	RNA binding motif protein 38	protein-coding
chr7-46286	chr7	28764771	28832466	+	1066.2	1.945	3' UTR (NM_177158, exon 12 of 12)	3' UTR (NM_177158, exon 12 of 12)	9649	NM_177158	320435	Mm.74632	NM_177158	ENSMUSG00000051735	Rinl	5830482F20Rik|9930116N10Rik	Ras and Rab interactor-like	protein-coding
chr12-16776	chr12	33110995	33194603	+	1063.8	2.347	intron (NM_028139, intron 2 of 3)	intron (NM_028139, intron 2 of 3)	5113	NM_028139	380753	Mm.41540	NM_028139	ENSMUSG00000020564	Atxn7l1	2810423G08Rik|Atxn7l4	ataxin 7-like 1	protein-coding
chr3-43405	chr3	107035566	107099835	+	1063.6	3.070	Intergenic	MLT1A1|LTR|ERVL-MaLR	28196	NR_033498	229694	Mm.347584	NM_173787	ENSMUSG00000056145	AI504432	A230102G19	expressed sequence AI504432	ncRNA
chr15-44270	chr15	9549906	9624508	+	1063.4	3.114	Intergenic	Lx7|LINE|L1	-57331	NM_008372	16197	Mm.389	NM_008372	ENSMUSG00000003882	Il7r	CD127|IL-7Ralpha	interleukin 7 receptor	protein-coding
chr11-23449	chr11	55098070	55159002	+	1061.3	3.123	intron (NM_172258, intron 9 of 10)	intron (NM_172258, intron 9 of 10)	23170	NM_172258	215332	Mm.87054	NM_172258	ENSMUSG00000049491	Slc36a3	PAT3|TRAMD2|tramdorin2	solute carrier family 36 (proton/amino acid symporter), member 3	protein-coding
chr4-56685	chr4	123498607	123589515	+	1060.3	4.154	intron (NM_001199136, intron 3 of 97)	intron (NM_001199136, intron 3 of 97)	-72359	NR_105824	102465214		NR_105824	miRBase:MI0021934	Mir6398	mmu-mir-6398	microRNA mir-6398	ncRNA
chr6-54362	chr6	136899115	136980588	+	1057.7	4.288	promoter-TSS (NM_001301303)	promoter-TSS (NM_001301303)	-324	NM_001301303	11857	Mm.2241	NM_007486	ENSMUSG00000030220	Arhgdib	D4|Gdid4|Ly-GDI	Rho, GDP dissociation inhibitor (GDI) beta	protein-coding
chr16-19322	chr16	24109120	24249680	+	1052.4	4.234	Intergenic	Intergenic	-190788	NM_009744	12053	Mm.347398	NM_009744	ENSMUSG00000022508	Bcl6	Bcl5	B cell leukemia/lymphoma 6	protein-coding
chr4-52208	chr4	149838461	149958783	+	1052.1	4.392	intron (NM_029035, intron 2 of 2)	intron (NM_029035, intron 2 of 2)	56384	NM_029035	74646	Mm.30	NM_029035	ENSMUSG00000039911	Spsb1	1110014L01Rik|4930422J18Rik|AI596360|AI854583|SSB-1|SSB1	splA/ryanodine receptor domain and SOCS box containing 1	protein-coding
chr16-20548	chr16	95701679	95839571	+	1052.0	4.439	Intergenic	Intergenic	68218	NM_011809	23872	Mm.290207	NM_011809	ENSMUSG00000022895	Ets2	AU022856|Ets-2	E26 avian leukemia oncogene 2, 3' domain	protein-coding
chr11-61663	chr11	75914246	76045094	+	1046.5	4.417	Intergenic	MLTR14|LTR|ERV1	-20242	NM_198637	74230	Mm.271247	NM_198637	ENSMUSG00000053783	1700016K19Rik	-	RIKEN cDNA 1700016K19 gene	protein-coding
chr7-24297	chr7	80369038	80458987	+	1043.5	2.813	Intergenic	(CA)n|Simple_repeat|Simple_repeat	-8581	NM_001081454	18550	Mm.5241	NM_011046	ENSMUSG00000030530	Furin	9130404I01Rik|Fur|PACE|Pcsk3|SPC1	furin (paired basic amino acid cleaving enzyme)	protein-coding
chr11-48833	chr11	117936087	118019638	+	1043.5	3.892	Intergenic	(A)n|Simple_repeat|Simple_repeat	-8496	NM_007707	12702	Mm.3468	NM_007707	ENSMUSG00000053113	Socs3	Cis3|Cish3|EF-10|Ef10|SSI-3|Ssi3	suppressor of cytokine signaling 3	protein-coding
chr6-59314	chr6	117862872	117920904	+	1042.6	4.005	Intergenic	Intergenic	-8452	NM_001166432	98758	Mm.422979	NM_133834	ENSMUSG00000042079	Hnrnpf	4833420I20Rik|AA407306|Hnrpf	heterogeneous nuclear ribonucleoprotein F	protein-coding
chr10-35255	chr10	99169348	99269434	+	1040.2	4.193	Intergenic	Intergenic	-43840	NM_026268	67603	Mm.1791	NM_026268	ENSMUSG00000019960	Dusp6	1300019I03Rik|MKP-3|MKP3|PYST1	dual specificity phosphatase 6	protein-coding
chr7-54801	chr7	123298113	123411442	+	1039.3	3.387	intron (NM_001122643, intron 1 of 19)	intron (NM_001122643, intron 1 of 19)	15138	NM_001122643	70497	Mm.403318	NM_144529	ENSMUSG00000030766	Arhgap17	5730403H17Rik|Nadrin|Nadrin2|Rich1|Wbp15	Rho GTPase activating protein 17	protein-coding
chr6-24316	chr6	124711607	124789665	+	1039.3	2.781	intron (NM_007881, intron 1 of 9)	intron (NM_007881, intron 1 of 9)	5851	NM_007881	13498	Mm.333380	NM_007881	ENSMUSG00000004263	Atn1	Atr1|Drpla|atrophin-1	atrophin 1	protein-coding
chr16-12291	chr16	91433338	91501270	+	1039.1	3.494	intron (NR_077219, intron 1 of 1)	intron (NR_077219, intron 1 of 1)	2200	NR_077219	100503120	Mm.387130	NR_077219	ENSMUSG00000084866	A930006K02Rik	-	RIKEN cDNA A930006K02 gene	ncRNA
chr17-24968	chr17	6727760	6795972	+	1033.1	3.425	intron (NM_009510, intron 1 of 12)	B4A|SINE|B4	20914	NM_009510	22350	Mm.277812	NM_009510	ENSMUSG00000052397	Ezr	AW146364|R75297|Vil2|p81	ezrin	protein-coding
chr14-29643	chr14	31357203	31443127	+	1032.2	3.014	intron (NM_011894, intron 3 of 8)	intron (NM_011894, intron 3 of 8)	35868	NM_011894	24056	Mm.383198	NM_011894	ENSMUSG00000021892	Sh3bp5	AI606498|SH3BP-5|Sab	SH3-domain binding protein 5 (BTK-associated)	protein-coding
chr5-21826	chr5	105097609	105160499	+	1030.5	2.890	intron (NM_001256005, intron 3 of 10)	L1_Mur2|LINE|L1	10498	NM_008620	17472	Mm.440525	NM_008620	ENSMUSG00000079363	Gbp4	AW228052|Mag-2|Mpa-2|Mpa2|mKIAA4245	guanylate binding protein 4	protein-coding
chr3-48405	chr3	106447812	106501934	+	1030.3	2.879	Intergenic	Intergenic	-7558	NM_001093754	72121	Mm.14816	NM_028110	ENSMUSG00000027901	Dennd2d	2010308M01Rik|AI451421	DENN/MADD domain containing 2D	protein-coding
chr12-22134	chr12	80198724	80298171	+	1027.0	3.742	intron (NM_134156, intron 1 of 20)	intron (NM_134156, intron 1 of 20)	11924	NM_134156	109711	Mm.253564	NM_134156	ENSMUSG00000015143	Actn1	3110023F10Rik|Actn1a	actinin, alpha 1	protein-coding
chr11-69294	chr11	95331759	95395979	+	1026.4	2.966	intron (NM_172543, intron 1 of 7)	intron (NM_172543, intron 1 of 7)	-21053	NM_016752	110172	Mm.4593	NM_016752		Slc35b1	Ugalt2	solute carrier family 35, member B1	protein-coding
chr2-42785	chr2	32029633	32084826	+	1026.0	3.828	Intergenic	Intergenic	6283	NR_106135	102466844		NR_106135		Mir7674	mmu-mir-7674	microRNA mir-7674	ncRNA
chr12-34098	chr12	12261640	12324149	+	1025.6	3.819	intron (NM_029758, intron 2 of 12)	intron (NM_029758, intron 2 of 12)	30755	NM_029758	76820	Mm.440802	NM_029758	ENSMUSG00000020589	Fam49a	2410157M17Rik|9630047E15|D12Ertd553e	family with sequence similarity 49, member A	protein-coding
chr1-47806	chr1	138537428	138638598	+	1025.6	3.799	intron (NM_021605, intron 1 of 9)	intron (NM_021605, intron 1 of 9)	31683	NM_021605	59125	Mm.143817	NM_021605	ENSMUSG00000026393	Nek7	2810460C19Rik|AU020186	NIMA (never in mitosis gene a)-related expressed kinase 7	protein-coding
chr7-48905	chr7	110156927	110284879	+	1021.4	3.158	promoter-TSS (NM_009302)	promoter-TSS (NM_009302)	-800	NM_009302	20947	Mm.334144	NM_009302	ENSMUSG00000031015	Swap70	70kDa|AV235546	SWA-70 protein	protein-coding
chr1-26859	chr1	136116423	136180511	+	1019.1	3.114	intron (NM_001039472, intron 6 of 34)	intron (NM_001039472, intron 6 of 34)	17066	NM_001039472	16565	Mm.276135	NM_019962	ENSMUSG00000041642	Kif21b	2610511N21Rik|mKIAA0449	kinesin family member 21B	protein-coding
chr4-19406	chr4	130896618	130945628	+	1014.0	3.111	intron (NM_010686, intron 1 of 7)	intron (NM_010686, intron 1 of 7)	7789	NM_010686	16792	Mm.271868	NM_010686	ENSMUSG00000028581	Laptm5	E3	lysosomal-associated protein transmembrane 5	protein-coding
chr3-44313	chr3	137932880	138008603	+	1012.4	3.393	intron (NM_011932, intron 1 of 8)	intron (NM_011932, intron 1 of 8)	10808	NM_011932	26377	Mm.254835	NM_011932	ENSMUSG00000028159	Dapp1	Bam32	dual adaptor for phosphotyrosine and 3-phosphoinositides 1	protein-coding
chr2-77757	chr2	79225172	79277186	+	1012.3	3.591	Intergenic	Intergenic	-4247	NM_010576	16401	Mm.31903	NM_010576	ENSMUSG00000027009	Itga4	CD49D|Itga4B	integrin alpha 4	protein-coding
chr15-40975	chr15	58995966	59108376	+	1012.0	2.751	intron (NM_001146180, intron 3 of 13)	B4A|SINE|B4	29855	NM_001146180	211401	Mm.215481	NM_144800	ENSMUSG00000022353	Mtss1	2310003N14Rik|BC024131|D130001D01Rik|Mim|mKIAA0429	metastasis suppressor 1	protein-coding
chr17-36326	chr17	87281823	87376755	+	1011.6	2.332	intron (NM_028639, intron 8 of 19)	intron (NM_028639, intron 8 of 19)	46403	NM_028639	225049	Mm.77396	NM_028639	ENSMUSG00000036918	Ttc7	1110035E02Rik|1700007L07Rik|Ttc7a|fsn|hea	tetratricopeptide repeat domain 7	protein-coding
chr18-14658	chr18	38992658	39094891	+	1011.2	1.627	intron (NM_175164, intron 1 of 22)	intron (NM_175164, intron 1 of 22)	50629	NM_175164	71302	Mm.329396	NM_175164	ENSMUSG00000036452	Arhgap26	1810044B20Rik|2610010G17Rik|4933432P15Rik|AI853435|mKIAA0621	Rho GTPase activating protein 26	protein-coding
chr11-71205	chr11	117740176	117834530	+	1009.6	1.623	intron (NM_181856, intron 9 of 15)	intron (NM_181856, intron 9 of 15)	4695	NM_001195088	217356	Mm.116675	NM_181856	ENSMUSG00000050106	Tmc8	EVIN2|Ever2|mFLJ00400	transmembrane channel-like gene family 8	protein-coding
chr1-43205	chr1	125407515	125487885	+	1008.6	1.623	Intergenic	Intergenic	-11973	NM_001205385	74117	Mm.183102	NM_023735	ENSMUSG00000026341	Actr3	1200003A09Rik|Arp3	ARP3 actin-related protein 3	protein-coding
chr9-45468	chr9	77909271	77986439	+	1008.3	2.031	intron (NM_134255, intron 1 of 7)	B3A|SINE|B2	30490	NM_134255	68801	Mm.430736	NM_134255	ENSMUSG00000032349	Elovl5	1110059L23Rik|AI747313|AU043003|HELO1	ELOVL family member 5, elongation of long chain fatty acids (yeast)	protein-coding
chr7-13243	chr7	142435821	142499129	+	1008.0	2.053	intron (NM_001271510, intron 1 of 10)	(TGGA)n|Simple_repeat|Simple_repeat	-4368	NM_019391	16985	Mm.234003	NM_019391	ENSMUSG00000018819	Lsp1	Lsp-1|WP34|p50|pp52	lymphocyte specific 1	protein-coding
chr19-25132	chr19	44246034	44317697	+	1006.3	2.000	Intergenic	Intergenic	-11811	NM_009128	20250	Mm.487021	NM_009128	ENSMUSG00000025203	Scd2	Scd-2|swty	stearoyl-Coenzyme A desaturase 2	protein-coding
chr1-21359	chr1	95572669	95674301	+	1004.7	1.698	intron (NM_009183, intron 4 of 4)	RLTR17B_Mm|LTR|ERVK	44109	NM_009183	20452	Mm.306228	NM_009183	ENSMUSG00000040710	St8sia4	PST|PST-1|SIAT8-D|ST8SiaIV|Siat8d	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4	protein-coding
chr12-27576	chr12	111143134	111228521	+	1004.6	1.588	intron (NM_001286122, intron 1 of 9)	Lx3C|LINE|L1	19457	NM_011632	22031	Mm.27431	NM_011632	ENSMUSG00000021277	Traf3	AI528849|CAP-1|CD40bp|CRAF1|LAP1|T-BAM|amn	TNF receptor-associated factor 3	protein-coding
chr13-37602	chr13	44711803	44833435	+	1002.4	1.594	intron (NM_001205043, intron 1 of 17)	B1_Mur2|SINE|Alu	41348	NM_001205043	16468	Mm.25059	NM_021878	ENSMUSG00000038518	Jarid2	Jmj|jumonji	jumonji, AT rich interactive domain 2	protein-coding
chr12-36026	chr12	80771068	80895341	+	1001.9	1.939	intron (NM_178682, intron 2 of 5)	intron (NM_178682, intron 2 of 5)	42672	NM_178682	217684	Mm.341776	NM_178682	ENSMUSG00000021133	4933426M11Rik	mKIAA0247	RIKEN cDNA 4933426M11 gene	protein-coding
chr11-67638	chr11	69031579	69101118	+	1001.7	2.080	Intergenic	Intergenic	-4461	NM_028336	66910	Mm.33964	NM_025838	ENSMUSG00000020895	Tmem107	1110004B13Rik|2810049P21Rik	transmembrane protein 107	protein-coding
chr11-54551	chr11	43351516	43435236	+	1001.5	1.847	Intergenic	Intergenic	-18915	NR_029558	387164		NR_029558	miRBase:MI0000170	Mir146	Mirn146|miR-146a|mmu-mir-146	microRNA 146	ncRNA
chr9-50066	chr9	66539256	66642870	+	1001.1	2.579	intron (NM_144937, intron 1 of 14)	intron (NM_144937, intron 1 of 14)	1917	NM_144937	235441	Mm.38976	NM_144937	ENSMUSG00000032376	Usp3	AA409661|BC017156	ubiquitin specific peptidase 3	protein-coding
