PeakID (cmd=annotatePeaks.pl /data/mm10/CD4/ChIP/H3K27Ac/AND-CD4TCell-H3K27Ac-1uM-24h-MNase-All-Conditions/regions.txt mm10 -size given -d AND-CD4TCell-H3K27Ac-1uM-K99A-24h-MNase-Combined AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	1uM K99A	1uM PCC	No Peptide
chr2-1982	chr2	167805186	167807136	+	123.0	65.67	Intergenic	Intergenic	114984.0	NR_015500	329562.0	Mm.123101	NM_177851	ENSMUSG00000006462	A530013C23Rik	-	RIKEN cDNA A530013C23 gene	ncRNA	92.43	167.5	65.55
chr17-4141	chr17	21534517	21538695	+	122.6	29.993000000000002	intron (NM_144515, intron 1 of 4)	AT_rich|Low_complexity|Low_complexity	1067.0	NM_144515	22710.0	Mm.296100	NM_144515	0	Zfp52	KRAB11|Zfp-52|Zfp76|mszf23-2|mszf24|mszf34|mszf75|zfec29	zinc finger protein 52	protein-coding	119.92	169.01	78.33
chr11-73939	chr11	6525093	6529287	+	121.5	51.83	intron (NR_045893, intron 2 of 3)	MMERGLN_LTR|LTR|ERV1	1570.0	NR_045893	100041286.0	Mm.459507	NR_045893	ENSMUSG00000085156	Gm11974	OTTMUSG00000005115	predicted gene 11974	ncRNA	95.52	188.39	90.89
chr6-11019	chr6	99307749	99311601	+	119.7	56.927	intron (NM_053202, intron 1 of 18)	intron (NM_053202, intron 1 of 18)	-43160.0	NM_001197321	108655.0	Mm.234965	NM_053202	ENSMUSG00000030067	Foxp1	3110052D19Rik|4932443N09Rik|AI461938|AW494214	forkhead box P1	protein-coding	111.16	168.36	82.93
chr8-13070	chr8	120698549	120702315	+	119.5	17.117	Intergenic	Intergenic	32112.0	NM_001293559	12857.0	Mm.386758	NM_009941	ENSMUSG00000031818	Cox4i1	AL024441|COX|COX IV-1|COXIV|Cox4|Cox4a|IV-1	cytochrome c oxidase subunit IV isoform 1	protein-coding	97.07	162.34	73.09
chr15-11159	chr15	9462308	9464966	+	119.5	110.757	intron (NM_029341, intron 4 of 4)	intron (NM_029341, intron 4 of 4)	27609.0	NM_029341	75568.0	Mm.82143	NM_029341	ENSMUSG00000039676	Capsl	1700028N11Rik|AW125205	calcyphosine-like	protein-coding	92.78	194.85	75.39
chr13-10164	chr13	51812190	51815860	+	119.4	55.04	Intergenic	Intergenic	-20278.0	NM_013660	20354.0	Mm.33903	NM_013660	ENSMUSG00000021451	Sema4d	CD100|Semacl2|Semaj|Semcl2|coll-4	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D	protein-coding	102.4	169.44	68.9
chr2-36094	chr2	28515803	28519033	+	119.2	59.67	intron (NM_009058, intron 1 of 17)	intron (NM_009058, intron 1 of 17)	4251.0	NM_009058	19730.0	Mm.5236	NM_009058	ENSMUSG00000026821	Ralgds	Gnds|Rgds|mKIAA1308	ral guanine nucleotide dissociation stimulator	protein-coding	94.67	191.19	78.95
chr7-46013	chr7	75570578	75574112	+	117.7	77.64699999999999	intron (NM_029332, intron 3 of 36)	intron (NM_029332, intron 3 of 36)	116811.0	NM_029332	75547.0	Mm.216107	NM_029332	ENSMUSG00000066406	Akap13	1700026G02Rik|5730522G15Rik|5830460E08Rik|AKAP-Lbc|BRX|Ht31|LBC|PROTO-LB|PROTO-LBC	A kinase (PRKA) anchor protein 13	protein-coding	111.5	169.44	74.14
chr2-20662	chr2	93423447	93426363	+	117.6	59.44	intron (NM_007656, intron 6 of 9)	intron (NM_007656, intron 6 of 9)	-2898.0	NR_105967	102465605.0	0	NR_105967	0	Mir7001	mmu-mir-7001	microRNA mir-7001	ncRNA	92.26	167.29	65.97
chr10-14993	chr10	117103526	117107530	+	116.5	41.02	intron (NM_177798, intron 1 of 9)	intron (NM_177798, intron 1 of 9)	-41714.0	NM_007636	12461.0	Mm.247788	NM_007636	ENSMUSG00000034024	Cct2	Cctb	chaperonin containing Tcp1, subunit 2 (beta)	protein-coding	97.24	153.51	67.23
chr9-12432	chr9	92248446	92252644	+	116.5	44.65	intron (NM_011636, intron 1 of 8)	CpG	351.0	NM_011636	22038.0	Mm.421956	NM_011636	ENSMUSG00000032369	Plscr1	MmTRA1a|MmTRA1b|Nor1|Tra1|Tra1a|Tra1b|Tras1|Tras2	phospholipid scramblase 1	protein-coding	109.27	166.86	79.79
chr2-40611	chr2	65181111	65184505	+	115.8	36.49	intron (NM_177025, intron 1 of 13)	intron (NM_177025, intron 1 of 13)	55818.0	NM_177025	319876.0	Mm.34159	NM_027225	ENSMUSG00000034903	Cobll1	1810047P18Rik|Coblr1|D430044D16Rik	Cobl-like 1	protein-coding	103.6	166.0	71.41
chr7-6844	chr7	75666894	75671074	+	115.6	31.983	intron (NM_029332, intron 10 of 36)	intron (NM_029332, intron 10 of 36)	-179354.0	NM_029652	207952.0	Mm.206223	NM_029652	ENSMUSG00000055652	Klhl25	2810402K13Rik|BC027373|Enc-1	kelch-like 25	protein-coding	98.27	162.12	71.41
chr3-9641	chr3	37271719	37274719	+	114.8	27.546999999999997	Intergenic	MIR3|SINE|MIR	39227.0	NM_145825	207175.0	Mm.344708	NM_145825	ENSMUSG00000045031	Cetn4	-	centrin 4	protein-coding	93.12	203.24	74.35
chr1-18779	chr1	13659004	13661484	+	114.7	62.903	intron (NM_145381, intron 1 of 6)	CpG	265.0	NM_145381	212442.0	Mm.89572	NM_145381	0	Lactb2	Cgi-83|E430032H21Rik	lactamase, beta 2	protein-coding	108.58	157.6	74.56
chrX-9877	chrX	167145097	167149195	+	114.5	128.547	Intergenic	Intergenic	62072.0	NM_021278	19241.0	Mm.142729	NM_021278	ENSMUSG00000049775	Tmsb4x	Ptmb4|Tb4	thymosin, beta 4, X chromosome	protein-coding	99.65	169.22	73.09
chr3-38662	chr3	88518853	88522809	+	114.2	24.47	Intergenic	Intergenic	-11564.0	NM_001029890	72640.0	Mm.275154	NM_001029890	ENSMUSG00000074480	Mex3a	2700083E18Rik|Gm411|Rkhd4	mex3 homolog A (C. elegans)	protein-coding	89.85	192.91	57.8
chr13-15897	chr13	30816394	30820928	+	113.8	18.357	intron (NM_025588, intron 26 of 27)	intron (NM_025588, intron 26 of 27)	69403.0	NM_013674	16364.0	Mm.4677	NM_013674	ENSMUSG00000021356	Irf4	AI385587|IRF-4|LSIRF|Spip	interferon regulatory factor 4	protein-coding	93.46	173.1	78.12
chr10-6013	chr10	39454906	39458664	+	113.5	20.017	intron (NM_008054, intron 3 of 13)	L1ME1|LINE|L1	86986.0	NM_001122893	14360.0	Mm.4848	NM_008054	ENSMUSG00000019843	Fyn	AI448320|AW552119	Fyn proto-oncogene	protein-coding	95.87	162.77	75.39
chr13-2979	chr13	30759266	30763318	+	113.3	26.09	intron (NM_013674, intron 7 of 8)	intron (NM_013674, intron 7 of 8)	12034.0	NM_013674	16364.0	Mm.4677	NM_013674	ENSMUSG00000021356	Irf4	AI385587|IRF-4|LSIRF|Spip	interferon regulatory factor 4	protein-coding	106.69	176.76	77.49
chr4-19472	chr4	63897845	63901401	+	113.2	53.09	Intergenic	Intergenic	-38339.0	NM_009403	21949.0	Mm.4664	NM_009403	0	Tnfsf8	CD153|CD30LG|Cd30l	tumor necrosis factor (ligand) superfamily, member 8	protein-coding	98.44	166.21	78.12
chr18-51113	chr18	75453711	75456993	+	112.3	87.48	intron (NM_201354, intron 10 of 11)	intron (NM_201354, intron 10 of 11)	-59293.0	NR_045879	100038353.0	Mm.440724	NR_045879	ENSMUSG00000097712	Gm10532	ENSMUSG00000073534	predicted gene 10532	ncRNA	105.66	176.55	82.3
chr18-2756	chr18	65320883	65323659	+	111.4	77.833	intron (NM_001037294, intron 4 of 12)	intron (NM_001037294, intron 4 of 12)	71617.0	NM_001037294	225638.0	Mm.296528	NM_001037294	ENSMUSG00000032845	Alpk2	Gm549|Hak	alpha-kinase 2	protein-coding	93.81	169.66	73.93
chr1-64887	chr1	95653538	95657770	+	111.3	27.883000000000003	intron (NM_001159745, intron 2 of 3)	intron (NM_001159745, intron 2 of 3)	11940.0	NM_001159745	20452.0	Mm.306228	NM_009183	ENSMUSG00000040710	St8sia4	PST|PST-1|SIAT8-D|ST8SiaIV|Siat8d	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4	protein-coding	107.55	138.44	67.64
chr17-10397	chr17	50156987	50159853	+	109.8	75.4	intron (NM_181397, intron 2 of 9)	(CA)n|Simple_repeat|Simple_repeat	32077.0	NM_181397	76438.0	Mm.41854	NM_181397	0	Rftn1	2310015N21Rik|AI853526	raftlin lipid raft linker 1	protein-coding	102.57	159.11	75.39
chr3-19582	chr3	37312182	37316186	+	109.0	60.04	intron (NM_001255992, intron 1 of 1)	intron (NM_001255992, intron 1 of 1)	1630.0	NM_001255992	241950.0	Mm.32171	NM_001008502	ENSMUSG00000051444	Bbs12	Gm1805|Gm407|Gm721	Bardet-Biedl syndrome 12 (human)	protein-coding	82.64	149.2	68.9
chr13-2234	chr13	104620433	104623877	+	108.8	28.147	Intergenic	ID4_|SINE|ID	194798.0	NM_026072	67285.0	Mm.235398	NM_026072	ENSMUSG00000021715	Cwc27	3110009E13Rik|NY-CO-10|Sdccag10	CWC27 spliceosome-associated protein homolog (S. cerevisiae)	protein-coding	95.01	167.07	68.06
chr13-4252	chr13	30784754	30788210	+	108.5	21.226999999999997	Intergenic	Intergenic	37224.0	NM_013674	16364.0	Mm.4677	NM_013674	ENSMUSG00000021356	Irf4	AI385587|IRF-4|LSIRF|Spip	interferon regulatory factor 4	protein-coding	77.83	173.53	68.27
chr17-10245	chr17	35998058	36002744	+	108.3	22.793000000000003	intron (NR_015618, intron 1 of 1)	B1_Mus2|SINE|Alu	5897.0	NR_015618	77810.0	Mm.483143	NR_015618	0	A930015D03Rik	-	RIKEN cDNA A930015D03 gene	ncRNA	89.34	181.28	69.11
chr4-3652	chr4	154942735	154944991	+	107.9	87.35	Intergenic	Intergenic	-15786.0	NM_178931	230979.0	Mm.215147	NM_178931	ENSMUSG00000042333	Tnfrsf14	Atar|HveA|Hvem|Tnfrs14	tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)	protein-coding	102.57	164.06	69.32
chr19-12702	chr19	57070926	57074836	+	106.4	39.233000000000004	intron (NM_001290813, intron 8 of 20)	intron (NM_001290813, intron 8 of 20)	46143.0	NM_001103178	226251.0	Mm.217161	NM_178688	ENSMUSG00000025085	Ablim1	2210411C18Rik|2610209L21Rik|4833406P10Rik|9330196J19Rik|AV079770|AW060987|AW215784|Limab1|mKIAA0059	actin-binding LIM protein 1	protein-coding	108.07	151.14	72.46
chr19-6908	chr19	46618385	46621889	+	106.2	39.62	intron (NM_001177812, intron 2 of 4)	intron (NM_001177812, intron 2 of 4)	-3264.0	NM_001177813	226178.0	Mm.329895	NM_146099	ENSMUSG00000047731	Wbp1l	D19Wsu162e|Opal1	WW domain binding protein 1 like	protein-coding	96.38	154.58	67.64
chr4-2277	chr4	8926498	8929112	+	104.5	32.266999999999996	Intergenic	Intergenic	237399.0	NM_001277149	320790.0	Mm.138792	NM_001033395	ENSMUSG00000041235	Chd7	A730019I05Rik|Cycn|Cyn|Dz|Edy|Flo|GENA 47|GENA 60|Gena 52|Lda|Mt|Obt|Todo|WBE1|Whi|metis	chromodomain helicase DNA binding protein 7	protein-coding	79.89	183.43	61.36
chr6-14878	chr6	145272974	145276488	+	104.5	18.327	Intergenic	Intergenic	24179.0	NR_045598	100039495.0	Mm.121014	NR_045598	ENSMUSG00000086013	Gm15706	OTTMUSG00000025463	predicted gene 15706	ncRNA	82.3	131.33	60.94
chr8-6515	chr8	107289786	107292964	+	103.5	26.563000000000002	Intergenic	Intergenic	-2095.0	NM_133957	54446.0	Mm.390057	NM_018823	ENSMUSG00000003847	Nfat5	AI225870|B130038B15Rik|CAG-8|CAG80|NFATL1|OREBP|TonEBP|mKIAA0827|nfatz	nuclear factor of activated T cells 5	protein-coding	84.53	150.06	60.73
chr10-1722	chr10	60160991	60163391	+	102.6	55.827	Intergenic	RMER17A2|LTR|ERVK	35415.0	NR_105871	102465546.0	0	NR_105871	0	Mir6906	mmu-mir-6906	microRNA mir-6906	ncRNA	78.52	171.59	58.43
chr12-1427	chr12	99639760	99642774	+	102.2	54.486999999999995	Intergenic	Intergenic	-13293.0	NR_045288	73457.0	Mm.383439	NR_045288	0	1700064M15Rik	-	RIKEN cDNA 1700064M15 gene	ncRNA	106.18	142.74	58.43
chr1-11920	chr1	151570456	151573530	+	102.0	43.2	intron (NM_022018, intron 1 of 13)	intron (NM_022018, intron 1 of 13)	620.0	NM_022018	63913.0	Mm.157700	NM_022018	0	Fam129a	AI256368|AU019833|Niban	family with sequence similarity 129, member A	protein-coding	87.28	156.95	70.37
chr3-4424	chr3	68760412	68763612	+	98.2	81.17699999999999	Intergenic	(CCCCCA)n|Simple_repeat|Simple_repeat	70588.0	NM_008351	16159.0	Mm.103783	NM_008351	ENSMUSG00000027776	Il12a	IL-12p35|Il-12a|Ll12a|p35	interleukin 12a	protein-coding	83.5	155.88	60.94
chr12-13450	chr12	25304109	25307699	+	97.6	10.537	Intergenic	Intergenic	176730.0	NR_045844	432641.0	Mm.112955	NR_045844	0	Gm17746	-	predicted gene, 17746	ncRNA	70.96	150.49	62.83
chr8-87632	chr8	81852211	81856657	+	96.5	36.8	intron (NM_001297596, intron 7 of 24)	intron (NM_001297596, intron 7 of 24)	511872.0	NM_001297591	234515.0	Mm.324468	NM_001024617	ENSMUSG00000037940	Inpp4b	E130107I17Rik	inositol polyphosphate-4-phosphatase, type II	protein-coding	77.83	152.86	59.06
chr16-68195	chr16	51673803	51677547	+	96.4	52.537	Intergenic	A-rich|Low_complexity|Low_complexity	-355874.0	NM_001033238	208650.0	Mm.328206	NM_001033238	ENSMUSG00000022637	Cblb	AI429560|AI851073|Cbl-b	Casitas B-lineage lymphoma b	protein-coding	82.3	155.45	68.27
chr15-17448	chr15	80597695	80600879	+	96.4	71.89699999999999	intron (NM_001289442, intron 1 of 7)	intron (NM_001289442, intron 1 of 7)	-24196.0	NM_010815	17444.0	Mm.12947	NM_010815	ENSMUSG00000042351	Grap2	GRAP-2|GRB2L|GRBLG|GRID|Gads|GrbX|Grf40|GrpL|Mona|P38	GRB2-related adaptor protein 2	protein-coding	95.01	126.38	60.94
chr1-10036	chr1	36767783	36771323	+	96.2	21.9	intron (NM_001289765, intron 1 of 12)	L1ME2z|LINE|L1	2619.0	NM_001289765	22637.0	Mm.8038	NM_009539	ENSMUSG00000026117	Zap70	Srk|ZAP-70|mrtle|mur	zeta-chain (TCR) associated protein kinase	protein-coding	57.56	113.68	55.08
chr4-18985	chr4	63937766	63941090	+	96.0	28.803	Intergenic	Intergenic	-78144.0	NM_009403	21949.0	Mm.4664	NM_009403	0	Tnfsf8	CD153|CD30LG|Cd30l	tumor necrosis factor (ligand) superfamily, member 8	protein-coding	63.74	183.87	49.42
chr10-25474	chr10	58391861	58394629	+	96.0	58.147	intron (NM_201242, intron 1 of 9)	intron (NM_201242, intron 1 of 9)	-1128.0	NM_001193303	110829.0	Mm.57734	NM_026148	ENSMUSG00000019920	Lims1	2310016J22Rik|4921524A02Rik|AI507642|AU021743|AW551584|C430041B13Rik|Lims1l|PINCH|PINCH1	LIM and senescent cell antigen-like domains 1	protein-coding	82.81	132.62	64.29
chr3-22087	chr3	37173217	37176219	+	95.1	35.623000000000005	Intergenic	Intergenic	-48764.0	NM_008366	16183.0	Mm.14190	NM_008366	ENSMUSG00000027720	Il2	Il-2	interleukin 2	protein-coding	68.04	131.76	46.7
chr4-79965	chr4	11087469	11090891	+	94.9	48.323	Intergenic	Intergenic	-12975.0	NM_001085493	76947.0	Mm.275265	NM_001085493	ENSMUSG00000050323	Ndufaf6	2310030N02Rik	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6	protein-coding	91.92	156.09	74.35
chr6-19317	chr6	108660363	108664275	+	94.4	23.906999999999996	intron (NM_011498, intron 3 of 4)	intron (NM_011498, intron 3 of 4)	-1385.0	NR_104577	75394.0	Mm.395061	NR_040757	ENSMUSG00000087341	0610040F04Rik	-	RIKEN cDNA 0610040F04 gene	ncRNA	72.16	159.11	60.52
chr4-11936	chr4	32403748	32407844	+	94.3	67.767	Intergenic	Intergenic	-11639.0	NM_001109661	12014.0	Mm.491223	NM_007521	ENSMUSG00000040270	Bach2	E030004N02Rik	BTB and CNC homology 2	protein-coding	79.55	140.81	67.64
chr13-732	chr13	63222592	63225124	+	93.6	62.69	intron (NM_001289926, intron 11 of 15)	intron (NM_001289926, intron 11 of 15)	-16171.0	NR_110520	72061.0	Mm.188105	NM_028079	ENSMUSG00000021458	2010111I01Rik	2300006M17Rik|AP-O|Aopep	RIKEN cDNA 2010111I01 gene	protein-coding	65.46	124.87	53.4
chr15-36151	chr15	100059217	100062027	+	92.7	37.516999999999996	intron (NM_001159361, intron 1 of 37)	intron (NM_001159361, intron 1 of 37)	21958.0	NM_001159361	239667.0	Mm.243658	NM_172819	ENSMUSG00000023026	Dip2b	4932422C22|AI317237|AI854602|mKIAA1463	DIP2 disco-interacting protein 2 homolog B (Drosophila)	protein-coding	76.28	140.81	67.02
chr6-2206	chr6	144901997	144903513	+	92.1	208.303	Intergenic	Intergenic	146057.0	NM_001024468	12035.0	Mm.4606	NM_007532	ENSMUSG00000030268	Bcat1	BCATc|Eca39	branched chain aminotransferase 1, cytosolic	protein-coding	97.24	133.49	55.71
chr3-3941	chr3	37204626	37206948	+	92.1	30.116999999999997	Intergenic	Intergenic	26849.0	NM_021782	60505.0	Mm.157689	NM_021782	ENSMUSG00000027718	Il21	IL-21	interleukin 21	protein-coding	52.92	92.58	42.51
chr1-10103	chr1	161395285	161397753	+	90.5	54.907	intron (NM_009452, intron 1 of 2)	intron (NM_009452, intron 1 of 2)	1081.0	NM_009452	22164.0	Mm.4994	NM_009452	ENSMUSG00000026700	Tnfsf4	Ath-1|Ath1|CD134L|OX-40L|Ox40l|TXGP1|Txgp1l|gp34	tumor necrosis factor (ligand) superfamily, member 4	protein-coding	70.27	155.88	52.78
chr16-851	chr16	49774166	49776910	+	90.4	28.273000000000003	Intergenic	Intergenic	76244.0	NM_028680	73916.0	Mm.241276	NM_028680	ENSMUSG00000032965	Ift57	4833420A15Rik|Esrrbl1|Hippi|MHS4R2	intraflagellar transport 57	protein-coding	89.0	139.51	66.39
chr6-34950	chr6	108657174	108659666	+	89.5	151.2	intron (NR_104577, intron 1 of 6)	intron (NR_104577, intron 1 of 6)	-2209.0	NM_011498	20893.0	Mm.2436	NM_011498	ENSMUSG00000030103	Bhlhe40	Bhlhb2|C130042M06Rik|CR8|Clast5|Dec1|Sharp2|Stra13|Stra14	basic helix-loop-helix family, member e40	protein-coding	69.58	148.34	59.48
chr9-17304	chr9	21134625	21136885	+	88.9	128.843	Intergenic	(CCCCCT)n|Simple_repeat|Simple_repeat	-4480.0	NM_018793	54721.0	Mm.20249	NM_018793	ENSMUSG00000032175	Tyk2	JTK1	tyrosine kinase 2	protein-coding	69.75	139.73	59.69
chr9-52039	chr9	108033803	108037099	+	88.6	48.263000000000005	intron (NM_013785, intron 3 of 5)	RLTR30E_MM|LTR|ERV1	-13839.0	NM_177910	331026.0	Mm.22554	NM_177910	ENSMUSG00000070284	Gmppb	AI317178|E430010H19	GDP-mannose pyrophosphorylase B	protein-coding	80.41	119.92	57.38
chr2-122290	chr2	102980348	102983088	+	88.1	66.943	Intergenic	Intergenic	-80053.0	NM_001177787	12505.0	Mm.423621	NM_009851	ENSMUSG00000005087	Cd44	AU023126|AW121933|AW146109|HERMES|Ly-24|Pgp-1	CD44 antigen	protein-coding	60.82	163.84	52.57
chr7-17626	chr7	123321634	123323648	+	87.8	64.203	intron (NM_001122643, intron 4 of 19)	intron (NM_001122643, intron 4 of 19)	47274.0	NM_001122640	70497.0	Mm.403318	NM_144529	ENSMUSG00000030766	Arhgap17	5730403H17Rik|Nadrin|Nadrin2|Rich1|Wbp15	Rho GTPase activating protein 17	protein-coding	65.63	145.33	57.59
chr6-6162	chr6	108686945	108689139	+	87.7	58.957	Intergenic	(TA)n|Simple_repeat|Simple_repeat	-27108.0	NR_104577	75394.0	Mm.395061	NR_040757	ENSMUSG00000087341	0610040F04Rik	-	RIKEN cDNA 0610040F04 gene	ncRNA	75.08	143.82	47.54
chr2-21867	chr2	117387750	117390850	+	87.5	27.5	Intergenic	MER58A|DNA|hAT-Charlie	-46423.0	NM_011246	19419.0	Mm.42150	NM_011246	ENSMUSG00000027347	Rasgrp1	Rasgrp	RAS guanyl releasing protein 1	protein-coding	69.41	114.11	53.4
chr10-22255	chr10	66863369	66865171	+	86.7	98.68	Intergenic	MTE2b|LTR|ERVL-MaLR	-140805.0	NR_110511	102634101.0	Mm.445258	NR_110511	0	LOC102634101	-	uncharacterized LOC102634101	ncRNA	70.78	126.17	52.78
chr13-22721	chr13	104609655	104611935	+	86.6	40.537	Intergenic	UCON4|Unknown|Unknown	206158.0	NM_026072	67285.0	Mm.235398	NM_026072	ENSMUSG00000021715	Cwc27	3110009E13Rik|NY-CO-10|Sdccag10	CWC27 spliceosome-associated protein homolog (S. cerevisiae)	protein-coding	84.87	118.2	58.22
chr6-26682	chr6	99336981	99340207	+	86.3	30.697	intron (NM_053202, intron 1 of 18)	intron (NM_053202, intron 1 of 18)	-72079.0	NM_001197321	108655.0	Mm.234965	NM_053202	ENSMUSG00000030067	Foxp1	3110052D19Rik|4932443N09Rik|AI461938|AW494214	forkhead box P1	protein-coding	75.77	153.94	63.04
chr19-6244	chr19	29453138	29455638	+	86.2	46.44	intron (NM_021396, intron 4 of 5)	intron (NM_021396, intron 4 of 5)	43469.0	NM_021396	58205.0	Mm.116737	NM_021396	0	Pdcd1lg2	B7-DC|Btdc|F730015O22Rik|PD-L2	programmed cell death 1 ligand 2	protein-coding	78.52	118.63	50.89
chr2-29727	chr2	153291483	153293999	+	86.2	44.74	intron (NM_008444, intron 1 of 8)	MIRb|SINE|MIR	1325.0	NM_008444	16569.0	Mm.315560	NM_008444	ENSMUSG00000027475	Kif3b	AI854312|AW549267|mKIAA0359	kinesin family member 3B	protein-coding	68.55	139.08	61.36
chr13-4917	chr13	43776516	43779620	+	85.8	53.367	Intergenic	Intergenic	-7044.0	NM_009856	12522.0	Mm.57175	NM_009856	ENSMUSG00000015396	Cd83	-	CD83 antigen	protein-coding	67.69	141.88	48.59
chr13-17732	chr13	43787940	43790316	+	85.4	132.393	intron (NM_001289915, intron 2 of 4)	intron (NM_001289915, intron 2 of 4)	4016.0	NM_001289915	12522.0	Mm.57175	NM_009856	ENSMUSG00000015396	Cd83	-	CD83 antigen	protein-coding	79.03	126.6	54.87
chr6-49242	chr6	99186816	99189204	+	85.4	29.366999999999997	intron (NM_053202, intron 3 of 18)	intron (NM_053202, intron 3 of 18)	78505.0	NM_001197321	108655.0	Mm.234965	NM_053202	ENSMUSG00000030067	Foxp1	3110052D19Rik|4932443N09Rik|AI461938|AW494214	forkhead box P1	protein-coding	72.33	127.67	61.78
chr1-16840	chr1	133018544	133021994	+	84.3	34.51	intron (NM_008575, intron 1 of 11)	RLTR23|LTR|ERV1	5079.0	NM_008575	17248.0	Mm.426531	NM_008575	ENSMUSG00000054387	Mdm4	4933417N07Rik|AA414968|AL023055|AU018793|AU021806|C85810|Mdmx	transformed mouse 3T3 cell double minute 4	protein-coding	55.67	139.51	44.19
chr2-67619	chr2	52318197	52320899	+	84.2	68.063	intron (NM_010889, intron 10 of 156)	intron (NM_010889, intron 10 of 156)	19250.0	NM_010889	17996.0	Mm.389247	NM_010889	ENSMUSG00000026950	Neb	AI595938	nebulin	protein-coding	64.08	146.62	47.12
chr4-8042	chr4	32399812	32403300	+	84.1	21.423000000000002	Intergenic	MTC|LTR|ERVL-MaLR	-15879.0	NM_001109661	12014.0	Mm.491223	NM_007521	ENSMUSG00000040270	Bach2	E030004N02Rik	BTB and CNC homology 2	protein-coding	74.22	131.76	55.71
chr17-8982	chr17	53585825	53588117	+	84.1	22.057	intron (NM_001190846, intron 1 of 17)	intron (NM_001190846, intron 1 of 17)	2845.0	NM_001190846	18519.0	Mm.255025	NM_020005	ENSMUSG00000000708	Kat2b	A930006P13Rik|AI461839|AW536563|Pcaf|p/CAF	K(lysine) acetyltransferase 2B	protein-coding	69.93	122.29	54.24
chr2-15419	chr2	11143176	11146336	+	83.4	36.97	Intergenic	Lx8|LINE|L1	-27626.0	NM_008859	18761.0	Mm.329993	NM_008859	ENSMUSG00000026778	Prkcq	A130035A12Rik|AW494342|PKC-0|PKC-theta|PKCtheta|Pkcq	protein kinase C, theta	protein-coding	70.44	128.32	58.01
chr5-15229	chr5	122286752	122290242	+	82.9	24.293000000000003	intron (NM_177242, intron 1 of 5)	intron (NM_177242, intron 1 of 5)	4099.0	NM_177242	320717.0	Mm.489670	NM_177242	ENSMUSG00000038582	Pptc7	9130017A15Rik|AA672638|AI848390|TA-PP2C	PTC7 protein phosphatase homolog (S. cerevisiae)	protein-coding	73.19	124.44	58.01
chr6-31729	chr6	29837574	29840754	+	82.5	69.2	intron (NM_001171000, intron 1 of 16)	intron (NM_001171000, intron 1 of 16)	-20432.0	NM_001171001	74340.0	Mm.210899	NM_021414	ENSMUSG00000029772	Ahcyl2	4631427C17Rik|AI227036|Adohcyase3|mKIAA0828	S-adenosylhomocysteine hydrolase-like 2	protein-coding	77.14	118.41	59.06
chr19-8993	chr19	25061337	25063937	+	82.2	57.617	intron (NM_028785, intron 3 of 47)	intron (NM_028785, intron 3 of 47)	63108.0	NM_028785	76088.0	Mm.102485	NM_028785	ENSMUSG00000052085	Dock8	1200017A24Rik|5830472H07Rik|A130095G14Rik|AI461977	dedicator of cytokinesis 8	protein-coding	61.51	146.62	45.24
chr11-21868	chr11	33931602	33933990	+	81.3	96.57700000000001	intron (NM_001190886, intron 1 of 7)	Tigger7|DNA|TcMar-Tigger	-30217.0	NM_031169	16533.0	Mm.6206	NM_031169	ENSMUSG00000020155	Kcnmb1	BKbeta1	potassium large conductance calcium-activated channel, subfamily M, beta member 1	protein-coding	78.34	104.64	52.15
chr3-68874	chr3	137947461	137951161	+	80.4	19.17	intron (NM_011932, intron 4 of 8)	intron (NM_011932, intron 4 of 8)	30756.0	NM_019920	56692.0	Mm.331392	NM_019920	ENSMUSG00000091512	Lamtor3	AW556229|Map2k1ip1|Mapbp|Mapksp1|Mp1	late endosomal/lysosomal adaptor, MAPK and MTOR activator 3	protein-coding	55.49	132.62	61.36
chr18-1488	chr18	50008434	50011346	+	80.2	37.847	intron (NM_001177760, intron 1 of 2)	B2_Mm1a|SINE|B2	30463.0	NM_001177760	106869.0	Mm.27740	NM_134131	ENSMUSG00000062210	Tnfaip8	AA987150|E130304C20Rik|ENSMUSG00000073567|Gg2-1|Gm10539|Nded|Ssc-2	tumor necrosis factor, alpha-induced protein 8	protein-coding	74.05	115.18	52.78
